id,data_subject_id,src_ip,dst_ip,severity,signature,text
1,202.0.8.144->10.232.124.149,202.0.8.144,10.232.124.149,medium,SQLi attempt,SQLi attempt from 202.0.8.144 targeting 10.232.124.149
2,61.173.231.221->172.27.195.196,61.173.231.221,172.27.195.196,critical,Ransomware beacon,Ransomware beacon from 61.173.231.221 targeting 172.27.195.196
3,213.185.16.3->10.255.231.205,213.185.16.3,10.255.231.205,critical,Ransomware beacon,Ransomware beacon from 213.185.16.3 targeting 10.255.231.205
4,197.249.5.36->192.168.55.148,197.249.5.36,192.168.55.148,low,SQLi attempt,SQLi attempt from 197.249.5.36 targeting 192.168.55.148
5,3.32.93.137->172.29.5.164,3.32.93.137,172.29.5.164,high,Ransomware beacon,Ransomware beacon from 3.32.93.137 targeting 172.29.5.164
6,206.2.132.156->192.168.213.179,206.2.132.156,192.168.213.179,low,C2 traffic,C2 traffic from 206.2.132.156 targeting 192.168.213.179
7,144.166.137.21->10.180.93.90,144.166.137.21,10.180.93.90,low,C2 traffic,C2 traffic from 144.166.137.21 targeting 10.180.93.90
8,177.236.238.200->172.27.195.163,177.236.238.200,172.27.195.163,medium,Ransomware beacon,Ransomware beacon from 177.236.238.200 targeting 172.27.195.163
9,99.119.8.117->10.142.21.169,99.119.8.117,10.142.21.169,low,Ransomware beacon,Ransomware beacon from 99.119.8.117 targeting 10.142.21.169
10,170.157.94.13->172.29.28.205,170.157.94.13,172.29.28.205,low,Ransomware beacon,Ransomware beacon from 170.157.94.13 targeting 172.29.28.205
11,200.210.234.61->172.21.245.65,200.210.234.61,172.21.245.65,high,Exploit kit,Exploit kit from 200.210.234.61 targeting 172.21.245.65
12,169.73.40.154->10.5.160.244,169.73.40.154,10.5.160.244,medium,Ransomware beacon,Ransomware beacon from 169.73.40.154 targeting 10.5.160.244
13,195.214.64.107->172.21.136.174,195.214.64.107,172.21.136.174,critical,C2 traffic,C2 traffic from 195.214.64.107 targeting 172.21.136.174
14,210.204.44.182->192.168.63.82,210.204.44.182,192.168.63.82,critical,C2 traffic,C2 traffic from 210.204.44.182 targeting 192.168.63.82
15,148.110.254.13->172.16.191.187,148.110.254.13,172.16.191.187,low,SQLi attempt,SQLi attempt from 148.110.254.13 targeting 172.16.191.187
16,153.12.255.220->192.168.98.147,153.12.255.220,192.168.98.147,low,SQLi attempt,SQLi attempt from 153.12.255.220 targeting 192.168.98.147
17,188.134.181.173->10.85.117.190,188.134.181.173,10.85.117.190,high,Ransomware beacon,Ransomware beacon from 188.134.181.173 targeting 10.85.117.190
18,136.111.185.149->172.26.1.55,136.111.185.149,172.26.1.55,critical,Exploit kit,Exploit kit from 136.111.185.149 targeting 172.26.1.55
19,195.147.241.3->192.168.109.70,195.147.241.3,192.168.109.70,medium,Exploit kit,Exploit kit from 195.147.241.3 targeting 192.168.109.70
20,173.64.196.99->192.168.144.85,173.64.196.99,192.168.144.85,critical,Port scan,Port scan from 173.64.196.99 targeting 192.168.144.85
21,25.211.30.77->172.22.251.161,25.211.30.77,172.22.251.161,high,Ransomware beacon,Ransomware beacon from 25.211.30.77 targeting 172.22.251.161
22,15.159.115.128->192.168.64.18,15.159.115.128,192.168.64.18,critical,Exploit kit,Exploit kit from 15.159.115.128 targeting 192.168.64.18
23,186.19.60.213->192.168.191.199,186.19.60.213,192.168.191.199,high,C2 traffic,C2 traffic from 186.19.60.213 targeting 192.168.191.199
24,27.170.227.71->192.168.104.46,27.170.227.71,192.168.104.46,medium,Port scan,Port scan from 27.170.227.71 targeting 192.168.104.46
25,204.227.88.236->172.28.76.242,204.227.88.236,172.28.76.242,medium,SQLi attempt,SQLi attempt from 204.227.88.236 targeting 172.28.76.242
26,99.3.139.7->192.168.183.2,99.3.139.7,192.168.183.2,medium,C2 traffic,C2 traffic from 99.3.139.7 targeting 192.168.183.2
27,169.208.211.75->10.96.140.57,169.208.211.75,10.96.140.57,medium,SQLi attempt,SQLi attempt from 169.208.211.75 targeting 10.96.140.57
28,156.212.219.179->10.50.158.214,156.212.219.179,10.50.158.214,low,SQLi attempt,SQLi attempt from 156.212.219.179 targeting 10.50.158.214
29,197.141.153.235->10.103.43.251,197.141.153.235,10.103.43.251,high,SQLi attempt,SQLi attempt from 197.141.153.235 targeting 10.103.43.251
30,214.21.149.110->192.168.162.231,214.21.149.110,192.168.162.231,medium,Exploit kit,Exploit kit from 214.21.149.110 targeting 192.168.162.231
31,202.15.197.20->172.23.51.135,202.15.197.20,172.23.51.135,medium,C2 traffic,C2 traffic from 202.15.197.20 targeting 172.23.51.135
