id,data_subject_id,proto,service,flag,src_bytes,dst_bytes,text,label
1,flow-000000,icmp,ssl,SF,436,910,icmp ssl SF 436->910 normal,normal
2,flow-000001,icmp,ssl,RSTR,694,140,icmp ssl RSTR 694->140 attack,attack
3,flow-000002,tcp,ftp,RSTR,1036,749,tcp ftp RSTR 1036->749 normal,normal
4,flow-000003,udp,smtp,SF,810,345,udp smtp SF 810->345 normal,normal
5,flow-000004,udp,other,SF,816,363,udp other SF 816->363 normal,normal
6,flow-000005,udp,smtp,SF,738,1051,udp smtp SF 738->1051 normal,normal
7,flow-000006,udp,smtp,SF,627,1436,udp smtp SF 627->1436 normal,normal
8,flow-000007,icmp,smtp,S1,72,1083,icmp smtp S1 72->1083 normal,normal
9,flow-000008,icmp,http,REJ,967,531,icmp http REJ 967->531 normal,normal
10,flow-000009,tcp,other,S0,1064,1241,tcp other S0 1064->1241 normal,normal
11,flow-000010,icmp,ssl,RSTO,421,108,icmp ssl RSTO 421->108 normal,normal
12,flow-000011,icmp,other,RSTO,1373,1151,icmp other RSTO 1373->1151 normal,normal
13,flow-000012,icmp,ssl,RSTO,833,819,icmp ssl RSTO 833->819 normal,normal
14,flow-000013,tcp,dns,RSTO,701,616,tcp dns RSTO 701->616 normal,normal
15,flow-000014,udp,other,RSTR,1811,481,udp other RSTR 1811->481 normal,normal
16,flow-000015,udp,ftp,REJ,356,1013,udp ftp REJ 356->1013 normal,normal
17,flow-000016,icmp,smtp,SF,608,227,icmp smtp SF 608->227 normal,normal
18,flow-000017,udp,ftp,RSTR,191,2132,udp ftp RSTR 191->2132 normal,normal
19,flow-000018,tcp,http,S0,337,495,tcp http S0 337->495 normal,normal
20,flow-000019,tcp,other,S1,530,625,tcp other S1 530->625 normal,normal
21,flow-000020,udp,other,REJ,174,447,udp other REJ 174->447 normal,normal
22,flow-000021,udp,ssl,SF,190,1170,udp ssl SF 190->1170 attack,attack
23,flow-000022,icmp,ftp,S0,1273,595,icmp ftp S0 1273->595 normal,normal
24,flow-000023,tcp,other,REJ,49,477,tcp other REJ 49->477 attack,attack
25,flow-000024,udp,ssl,RSTR,181,332,udp ssl RSTR 181->332 attack,attack
26,flow-000025,icmp,http,SF,477,491,icmp http SF 477->491 normal,normal
27,flow-000026,udp,smtp,S0,1514,83,udp smtp S0 1514->83 normal,normal
28,flow-000027,tcp,ssh,REJ,1692,911,tcp ssh REJ 1692->911 normal,normal
29,flow-000028,udp,ssh,SF,140,872,udp ssh SF 140->872 attack,attack
30,flow-000029,icmp,ssl,S0,407,123,icmp ssl S0 407->123 normal,normal
31,flow-000030,tcp,ftp,RSTO,252,246,tcp ftp RSTO 252->246 normal,normal
32,flow-000031,tcp,http,RSTO,441,761,tcp http RSTO 441->761 attack,attack
33,flow-000032,tcp,ssl,REJ,357,449,tcp ssl REJ 357->449 normal,normal
34,flow-000033,tcp,ssh,SF,1045,871,tcp ssh SF 1045->871 attack,attack
35,flow-000034,udp,ssl,SF,248,78,udp ssl SF 248->78 normal,normal
36,flow-000035,icmp,http,S1,80,317,icmp http S1 80->317 attack,attack
37,flow-000036,tcp,http,SF,998,1427,tcp http SF 998->1427 normal,normal
38,flow-000037,udp,dns,S0,430,445,udp dns S0 430->445 attack,attack
39,flow-000038,udp,other,S1,284,417,udp other S1 284->417 normal,normal
40,flow-000039,icmp,http,SF,1440,171,icmp http SF 1440->171 normal,normal
41,flow-000040,icmp,ssh,SF,434,415,icmp ssh SF 434->415 normal,normal
42,flow-000041,udp,smtp,RSTR,411,1631,udp smtp RSTR 411->1631 normal,normal
43,flow-000042,tcp,http,S1,48,1352,tcp http S1 48->1352 normal,normal
44,flow-000043,tcp,ssl,REJ,365,874,tcp ssl REJ 365->874 normal,normal
45,flow-000044,tcp,dns,REJ,422,175,tcp dns REJ 422->175 normal,normal
46,flow-000045,icmp,ftp,S0,532,1546,icmp ftp S0 532->1546 normal,normal
47,flow-000046,udp,smtp,RSTO,777,379,udp smtp RSTO 777->379 attack,attack
48,flow-000047,icmp,ftp,RSTO,415,1286,icmp ftp RSTO 415->1286 normal,normal
49,flow-000048,tcp,ssh,S0,811,1213,tcp ssh S0 811->1213 normal,normal
50,flow-000049,icmp,dns,RSTO,101,469,icmp dns RSTO 101->469 normal,normal
51,flow-000050,icmp,smtp,SF,75,207,icmp smtp SF 75->207 normal,normal
52,flow-000051,icmp,http,REJ,904,536,icmp http REJ 904->536 attack,attack
53,flow-000052,icmp,ssh,RSTR,119,906,icmp ssh RSTR 119->906 normal,normal
54,flow-000053,tcp,other,RSTO,168,875,tcp other RSTO 168->875 normal,normal
55,flow-000054,icmp,ssl,S0,133,159,icmp ssl S0 133->159 normal,normal
56,flow-000055,tcp,ftp,S0,8,430,tcp ftp S0 8->430 normal,normal
57,flow-000056,udp,ftp,S1,40,6,udp ftp S1 40->6 attack,attack
58,flow-000057,udp,dns,RSTR,261,572,udp dns RSTR 261->572 attack,attack
59,flow-000058,udp,dns,S0,412,923,udp dns S0 412->923 normal,normal
60,flow-000059,icmp,ftp,RSTO,910,1710,icmp ftp RSTO 910->1710 normal,normal
61,flow-000060,udp,smtp,RSTR,1480,63,udp smtp RSTR 1480->63 normal,normal
62,flow-000061,tcp,ftp,SF,916,155,tcp ftp SF 916->155 normal,normal
63,flow-000062,tcp,other,RSTR,58,432,tcp other RSTR 58->432 normal,normal
64,flow-000063,icmp,other,S1,2004,587,icmp other S1 2004->587 normal,normal
65,flow-000064,udp,ssl,RSTO,251,938,udp ssl RSTO 251->938 normal,normal
66,flow-000065,udp,other,SF,258,130,udp other SF 258->130 attack,attack
67,flow-000066,tcp,ftp,REJ,635,1200,tcp ftp REJ 635->1200 normal,normal
68,flow-000067,udp,ssl,RSTO,614,603,udp ssl RSTO 614->603 normal,normal
69,flow-000068,tcp,http,RSTO,954,1541,tcp http RSTO 954->1541 normal,normal
70,flow-000069,udp,ftp,SF,671,1708,udp ftp SF 671->1708 normal,normal
71,flow-000070,tcp,other,S0,381,145,tcp other S0 381->145 normal,normal
72,flow-000071,icmp,http,S0,61,1110,icmp http S0 61->1110 normal,normal
73,flow-000072,udp,ssl,S0,309,145,udp ssl S0 309->145 normal,normal
74,flow-000073,tcp,ftp,S0,660,1137,tcp ftp S0 660->1137 normal,normal
75,flow-000074,tcp,dns,S0,577,1318,tcp dns S0 577->1318 normal,normal
76,flow-000075,icmp,smtp,SF,310,805,icmp smtp SF 310->805 normal,normal
77,flow-000076,icmp,dns,RSTR,957,991,icmp dns RSTR 957->991 normal,normal
78,flow-000077,icmp,other,S0,974,1106,icmp other S0 974->1106 normal,normal
79,flow-000078,icmp,ssl,RSTR,47,892,icmp ssl RSTR 47->892 normal,normal
80,flow-000079,icmp,ssl,RSTR,1034,235,icmp ssl RSTR 1034->235 normal,normal
81,flow-000080,udp,smtp,RSTR,739,1134,udp smtp RSTR 739->1134 normal,normal
82,flow-000081,icmp,smtp,S1,175,1135,icmp smtp S1 175->1135 normal,normal
83,flow-000082,icmp,other,S1,512,1226,icmp other S1 512->1226 normal,normal
84,flow-000083,tcp,other,S1,247,384,tcp other S1 247->384 attack,attack
85,flow-000084,udp,dns,S0,641,298,udp dns S0 641->298 normal,normal
86,flow-000085,udp,smtp,RSTR,1137,407,udp smtp RSTR 1137->407 normal,normal
87,flow-000086,udp,ssh,RSTR,870,187,udp ssh RSTR 870->187 attack,attack
