id,data_subject_id,proto,service,flag,src_bytes,dst_bytes,text,label
1,flow-000000,udp,smtp,SF,546,1130,udp smtp SF 546->1130 normal,normal
2,flow-000001,icmp,ssh,S0,1247,1631,icmp ssh S0 1247->1631 normal,normal
3,flow-000002,tcp,other,S1,992,802,tcp other S1 992->802 attack,attack
4,flow-000003,icmp,other,REJ,219,665,icmp other REJ 219->665 normal,normal
5,flow-000004,tcp,http,S0,525,803,tcp http S0 525->803 normal,normal
6,flow-000005,udp,ssh,S0,201,235,udp ssh S0 201->235 attack,attack
7,flow-000006,tcp,ftp,S0,1297,1045,tcp ftp S0 1297->1045 attack,attack
8,flow-000007,icmp,ftp,REJ,850,10,icmp ftp REJ 850->10 attack,attack
9,flow-000008,udp,dns,REJ,636,301,udp dns REJ 636->301 attack,attack
10,flow-000009,udp,ssh,RSTR,633,508,udp ssh RSTR 633->508 normal,normal
11,flow-000010,udp,ssl,SF,380,421,udp ssl SF 380->421 normal,normal
12,flow-000011,udp,ftp,S0,113,1208,udp ftp S0 113->1208 normal,normal
13,flow-000012,tcp,dns,RSTO,963,253,tcp dns RSTO 963->253 normal,normal
14,flow-000013,icmp,smtp,S1,671,585,icmp smtp S1 671->585 attack,attack
15,flow-000014,udp,dns,S1,1422,274,udp dns S1 1422->274 normal,normal
16,flow-000015,icmp,other,RSTO,183,1022,icmp other RSTO 183->1022 normal,normal
17,flow-000016,tcp,ssl,REJ,106,707,tcp ssl REJ 106->707 normal,normal
18,flow-000017,udp,http,REJ,522,1163,udp http REJ 522->1163 normal,normal
19,flow-000018,tcp,smtp,REJ,1443,74,tcp smtp REJ 1443->74 normal,normal
20,flow-000019,icmp,other,RSTR,597,1307,icmp other RSTR 597->1307 normal,normal
21,flow-000020,icmp,ssl,S0,631,83,icmp ssl S0 631->83 normal,normal
22,flow-000021,icmp,ftp,RSTO,783,1388,icmp ftp RSTO 783->1388 normal,normal
23,flow-000022,icmp,ftp,RSTR,415,497,icmp ftp RSTR 415->497 attack,attack
24,flow-000023,tcp,smtp,RSTO,409,231,tcp smtp RSTO 409->231 normal,normal
25,flow-000024,icmp,smtp,S1,441,383,icmp smtp S1 441->383 normal,normal
26,flow-000025,udp,smtp,REJ,374,878,udp smtp REJ 374->878 normal,normal
27,flow-000026,udp,ssl,S1,498,862,udp ssl S1 498->862 normal,normal
28,flow-000027,icmp,dns,SF,560,1396,icmp dns SF 560->1396 normal,normal
29,flow-000028,tcp,ftp,RSTR,655,20,tcp ftp RSTR 655->20 attack,attack
30,flow-000029,udp,ssh,RSTR,1518,556,udp ssh RSTR 1518->556 normal,normal
31,flow-000030,udp,ssl,S1,1242,890,udp ssl S1 1242->890 normal,normal
32,flow-000031,udp,ftp,REJ,489,446,udp ftp REJ 489->446 normal,normal
33,flow-000032,tcp,dns,RSTO,545,695,tcp dns RSTO 545->695 normal,normal
34,flow-000033,icmp,smtp,S1,705,594,icmp smtp S1 705->594 normal,normal
35,flow-000034,icmp,ssh,S0,22,1000,icmp ssh S0 22->1000 normal,normal
36,flow-000035,tcp,ssh,REJ,142,1715,tcp ssh REJ 142->1715 normal,normal
37,flow-000036,tcp,ssh,SF,1011,694,tcp ssh SF 1011->694 normal,normal
38,flow-000037,icmp,ftp,RSTO,363,1056,icmp ftp RSTO 363->1056 normal,normal
39,flow-000038,icmp,other,SF,889,1077,icmp other SF 889->1077 attack,attack
40,flow-000039,udp,ssh,RSTR,1062,373,udp ssh RSTR 1062->373 normal,normal
41,flow-000040,tcp,http,RSTO,690,606,tcp http RSTO 690->606 normal,normal
42,flow-000041,tcp,ftp,REJ,1111,1032,tcp ftp REJ 1111->1032 normal,normal
43,flow-000042,icmp,ftp,RSTR,606,120,icmp ftp RSTR 606->120 normal,normal
44,flow-000043,icmp,ftp,REJ,997,859,icmp ftp REJ 997->859 normal,normal
45,flow-000044,tcp,ftp,S1,123,831,tcp ftp S1 123->831 normal,normal
46,flow-000045,icmp,http,RSTR,745,147,icmp http RSTR 745->147 attack,attack
47,flow-000046,tcp,other,RSTR,415,516,tcp other RSTR 415->516 normal,normal
48,flow-000047,tcp,ftp,SF,456,720,tcp ftp SF 456->720 normal,normal
49,flow-000048,icmp,dns,REJ,1050,770,icmp dns REJ 1050->770 normal,normal
50,flow-000049,tcp,http,RSTO,69,1176,tcp http RSTO 69->1176 attack,attack
51,flow-000050,udp,smtp,RSTR,610,41,udp smtp RSTR 610->41 normal,normal
52,flow-000051,tcp,other,RSTO,229,1370,tcp other RSTO 229->1370 normal,normal
53,flow-000052,tcp,ssl,SF,366,1468,tcp ssl SF 366->1468 normal,normal
54,flow-000053,tcp,smtp,RSTO,628,1423,tcp smtp RSTO 628->1423 normal,normal
55,flow-000054,tcp,http,REJ,465,4,tcp http REJ 465->4 normal,normal
56,flow-000055,udp,smtp,SF,347,1695,udp smtp SF 347->1695 attack,attack
57,flow-000056,tcp,dns,S0,1085,608,tcp dns S0 1085->608 normal,normal
58,flow-000057,tcp,ftp,RSTR,775,397,tcp ftp RSTR 775->397 normal,normal
59,flow-000058,tcp,ftp,S1,412,547,tcp ftp S1 412->547 normal,normal
60,flow-000059,tcp,other,S1,933,418,tcp other S1 933->418 normal,normal
61,flow-000060,icmp,smtp,S0,53,451,icmp smtp S0 53->451 normal,normal
62,flow-000061,icmp,ssh,RSTR,241,89,icmp ssh RSTR 241->89 normal,normal
63,flow-000062,udp,dns,SF,695,991,udp dns SF 695->991 attack,attack
64,flow-000063,udp,http,SF,1380,858,udp http SF 1380->858 normal,normal
65,flow-000064,udp,dns,RSTO,967,1094,udp dns RSTO 967->1094 attack,attack
66,flow-000065,tcp,http,REJ,500,1450,tcp http REJ 500->1450 normal,normal
67,flow-000066,udp,dns,S1,199,1483,udp dns S1 199->1483 normal,normal
68,flow-000067,tcp,http,REJ,790,106,tcp http REJ 790->106 normal,normal
69,flow-000068,tcp,smtp,S0,1649,650,tcp smtp S0 1649->650 normal,normal
70,flow-000069,tcp,dns,RSTR,460,961,tcp dns RSTR 460->961 normal,normal
71,flow-000070,icmp,http,REJ,12,829,icmp http REJ 12->829 normal,normal
72,flow-000071,icmp,other,RSTR,754,823,icmp other RSTR 754->823 normal,normal
73,flow-000072,tcp,http,SF,1142,1084,tcp http SF 1142->1084 normal,normal
74,flow-000073,tcp,dns,RSTO,140,475,tcp dns RSTO 140->475 normal,normal
75,flow-000074,tcp,dns,RSTO,379,1295,tcp dns RSTO 379->1295 normal,normal
76,flow-000075,icmp,ssl,SF,221,791,icmp ssl SF 221->791 normal,normal
77,flow-000076,udp,ftp,REJ,1355,2076,udp ftp REJ 1355->2076 normal,normal
78,flow-000077,udp,ssl,SF,907,172,udp ssl SF 907->172 attack,attack
79,flow-000078,tcp,other,S0,253,177,tcp other S0 253->177 normal,normal
80,flow-000079,icmp,ftp,S0,189,257,icmp ftp S0 189->257 attack,attack
81,flow-000080,udp,ftp,RSTR,584,1032,udp ftp RSTR 584->1032 normal,normal
82,flow-000081,icmp,ssl,S0,364,1252,icmp ssl S0 364->1252 attack,attack
83,flow-000082,icmp,other,RSTO,1173,256,icmp other RSTO 1173->256 normal,normal
84,flow-000083,udp,http,RSTR,1087,528,udp http RSTR 1087->528 attack,attack
85,flow-000084,tcp,smtp,S0,197,1088,tcp smtp S0 197->1088 normal,normal
86,flow-000085,tcp,ftp,RSTO,55,1377,tcp ftp RSTO 55->1377 normal,normal
87,flow-000086,udp,http,RSTR,1158,495,udp http RSTR 1158->495 attack,attack
88,flow-000087,udp,ftp,RSTR,525,525,udp ftp RSTR 525->525 normal,normal
89,flow-000088,udp,ssh,RSTO,95,940,udp ssh RSTO 95->940 attack,attack
90,flow-000089,tcp,http,S0,42,538,tcp http S0 42->538 normal,normal
91,flow-000090,tcp,other,RSTR,113,116,tcp other RSTR 113->116 normal,normal
92,flow-000091,icmp,ssh,RSTR,301,552,icmp ssh RSTR 301->552 normal,normal
93,flow-000092,icmp,http,S0,323,805,icmp http S0 323->805 normal,normal
94,flow-000093,tcp,http,REJ,714,394,tcp http REJ 714->394 normal,normal
95,flow-000094,udp,ssh,S0,727,27,udp ssh S0 727->27 normal,normal
96,flow-000095,tcp,ftp,RSTO,466,1429,tcp ftp RSTO 466->1429 attack,attack
97,flow-000096,udp,smtp,RSTO,616,739,udp smtp RSTO 616->739 normal,normal
98,flow-000097,tcp,ssh,REJ,851,306,tcp ssh REJ 851->306 normal,normal
99,flow-000098,udp,http,RSTO,434,2614,udp http RSTO 434->2614 normal,normal
100,flow-000099,icmp,ssh,RSTO,254,1133,icmp ssh RSTO 254->1133 normal,normal
101,flow-000100,tcp,other,SF,570,1072,tcp other SF 570->1072 normal,normal
102,flow-000101,udp,ftp,S0,604,611,udp ftp S0 604->611 normal,normal
103,flow-000102,udp,http,RSTR,58,322,udp http RSTR 58->322 normal,normal
104,flow-000103,tcp,smtp,RSTR,359,1068,tcp smtp RSTR 359->1068 normal,normal
105,flow-000104,tcp,ftp,SF,572,1784,tcp ftp SF 572->1784 attack,attack
106,flow-000105,icmp,ssl,RSTR,233,796,icmp ssl RSTR 233->796 normal,normal
107,flow-000106,tcp,ssh,SF,453,818,tcp ssh SF 453->818 normal,normal
108,flow-000107,icmp,ftp,RSTO,1475,609,icmp ftp RSTO 1475->609 normal,normal
109,flow-000108,icmp,http,SF,1160,374,icmp http SF 1160->374 attack,attack
110,flow-000109,icmp,http,SF,558,108,icmp http SF 558->108 normal,normal
111,flow-000110,icmp,ssl,RSTR,905,754,icmp ssl RSTR 905->754 normal,normal
112,flow-000111,tcp,http,REJ,1599,841,tcp http REJ 1599->841 normal,normal
113,flow-000112,tcp,ftp,RSTO,431,820,tcp ftp RSTO 431->820 normal,normal
114,flow-000113,udp,ssh,S1,708,2099,udp ssh S1 708->2099 attack,attack
115,flow-000114,udp,http,SF,184,1528,udp http SF 184->1528 attack,attack
116,flow-000115,icmp,ftp,S1,569,498,icmp ftp S1 569->498 normal,normal
117,flow-000116,udp,ssl,RSTO,539,599,udp ssl RSTO 539->599 normal,normal
118,flow-000117,icmp,other,REJ,1220,1466,icmp other REJ 1220->1466 normal,normal
119,flow-000118,udp,ssl,REJ,109,28,udp ssl REJ 109->28 attack,attack
120,flow-000119,tcp,http,S0,1209,1260,tcp http S0 1209->1260 normal,normal
121,flow-000120,tcp,ssl,S0,1084,860,tcp ssl S0 1084->860 normal,normal
122,flow-000121,icmp,smtp,REJ,631,256,icmp smtp REJ 631->256 normal,normal
123,flow-000122,udp,http,REJ,774,750,udp http REJ 774->750 normal,normal
124,flow-000123,udp,ssl,S0,718,267,udp ssl S0 718->267 normal,normal
125,flow-000124,tcp,other,RSTO,312,1057,tcp other RSTO 312->1057 normal,normal
126,flow-000125,tcp,http,S1,757,7,tcp http S1 757->7 normal,normal
127,flow-000126,udp,dns,RSTR,844,2023,udp dns RSTR 844->2023 normal,normal
128,flow-000127,icmp,http,S0,805,1016,icmp http S0 805->1016 attack,attack
129,flow-000128,tcp,http,S1,1019,156,tcp http S1 1019->156 normal,normal
130,flow-000129,tcp,ssh,S1,223,924,tcp ssh S1 223->924 normal,normal
131,flow-000130,tcp,ssl,S1,638,1428,tcp ssl S1 638->1428 normal,normal
132,flow-000131,udp,dns,RSTO,1868,400,udp dns RSTO 1868->400 normal,normal
133,flow-000132,udp,other,REJ,741,904,udp other REJ 741->904 attack,attack
134,flow-000133,udp,smtp,S0,571,1844,udp smtp S0 571->1844 attack,attack
135,flow-000134,udp,smtp,RSTR,1047,1054,udp smtp RSTR 1047->1054 normal,normal
136,flow-000135,tcp,other,RSTR,935,1493,tcp other RSTR 935->1493 attack,attack
137,flow-000136,icmp,ftp,S0,968,140,icmp ftp S0 968->140 normal,normal
138,flow-000137,icmp,ssl,RSTO,802,1442,icmp ssl RSTO 802->1442 normal,normal
139,flow-000138,icmp,ftp,RSTO,512,613,icmp ftp RSTO 512->613 normal,normal
140,flow-000139,tcp,ssl,REJ,1102,1412,tcp ssl REJ 1102->1412 attack,attack
141,flow-000140,udp,dns,S1,120,613,udp dns S1 120->613 normal,normal
142,flow-000141,udp,smtp,S1,1252,1547,udp smtp S1 1252->1547 normal,normal
143,flow-000142,tcp,other,RSTO,692,297,tcp other RSTO 692->297 normal,normal
144,flow-000143,icmp,ssh,RSTR,1814,1756,icmp ssh RSTR 1814->1756 attack,attack
145,flow-000144,tcp,http,S1,12,814,tcp http S1 12->814 normal,normal
146,flow-000145,icmp,dns,RSTR,592,928,icmp dns RSTR 592->928 normal,normal
147,flow-000146,icmp,ssl,REJ,398,696,icmp ssl REJ 398->696 normal,normal
148,flow-000147,tcp,smtp,S0,941,272,tcp smtp S0 941->272 normal,normal
149,flow-000148,udp,http,S1,1866,642,udp http S1 1866->642 attack,attack
150,flow-000149,tcp,dns,REJ,384,912,tcp dns REJ 384->912 normal,normal
151,flow-000150,udp,other,S1,704,723,udp other S1 704->723 normal,normal
152,flow-000151,tcp,other,RSTR,193,651,tcp other RSTR 193->651 attack,attack
153,flow-000152,icmp,other,REJ,775,145,icmp other REJ 775->145 normal,normal
154,flow-000153,tcp,ssl,S0,460,234,tcp ssl S0 460->234 attack,attack
155,flow-000154,icmp,ftp,S1,311,646,icmp ftp S1 311->646 attack,attack
156,flow-000155,tcp,ssh,SF,6,468,tcp ssh SF 6->468 attack,attack
157,flow-000156,udp,other,REJ,2277,1482,udp other REJ 2277->1482 normal,normal
158,flow-000157,tcp,ssh,S1,1009,821,tcp ssh S1 1009->821 normal,normal
159,flow-000158,tcp,dns,SF,807,871,tcp dns SF 807->871 normal,normal
160,flow-000159,udp,ssh,S1,338,370,udp ssh S1 338->370 attack,attack
161,flow-000160,icmp,other,RSTR,190,1751,icmp other RSTR 190->1751 normal,normal
162,flow-000161,tcp,other,S1,142,1102,tcp other S1 142->1102 normal,normal
163,flow-000162,udp,http,SF,658,2015,udp http SF 658->2015 normal,normal
164,flow-000163,icmp,dns,RSTO,1156,172,icmp dns RSTO 1156->172 normal,normal
165,flow-000164,udp,http,S0,1373,1743,udp http S0 1373->1743 attack,attack
166,flow-000165,tcp,http,SF,1188,933,tcp http SF 1188->933 normal,normal
167,flow-000166,tcp,other,RSTR,215,813,tcp other RSTR 215->813 normal,normal
168,flow-000167,icmp,other,S1,1233,1195,icmp other S1 1233->1195 normal,normal
169,flow-000168,tcp,http,RSTR,269,456,tcp http RSTR 269->456 normal,normal
170,flow-000169,tcp,dns,RSTR,89,792,tcp dns RSTR 89->792 normal,normal
171,flow-000170,udp,http,RSTR,100,1457,udp http RSTR 100->1457 normal,normal
172,flow-000171,tcp,http,S1,548,831,tcp http S1 548->831 normal,normal
173,flow-000172,icmp,other,SF,272,1106,icmp other SF 272->1106 normal,normal
174,flow-000173,udp,http,S1,77,436,udp http S1 77->436 normal,normal
175,flow-000174,icmp,ftp,RSTR,1240,324,icmp ftp RSTR 1240->324 normal,normal
176,flow-000175,tcp,ftp,S1,586,264,tcp ftp S1 586->264 normal,normal
177,flow-000176,icmp,http,S0,1001,371,icmp http S0 1001->371 normal,normal
178,flow-000177,icmp,ssh,SF,743,88,icmp ssh SF 743->88 normal,normal
179,flow-000178,udp,http,SF,321,535,udp http SF 321->535 normal,normal
180,flow-000179,udp,ftp,RSTR,1152,1281,udp ftp RSTR 1152->1281 normal,normal
181,flow-000180,tcp,dns,S1,865,96,tcp dns S1 865->96 normal,normal
182,flow-000181,tcp,ftp,SF,155,686,tcp ftp SF 155->686 normal,normal
183,flow-000182,icmp,ftp,RSTO,1221,882,icmp ftp RSTO 1221->882 normal,normal
184,flow-000183,udp,other,REJ,81,908,udp other REJ 81->908 normal,normal
185,flow-000184,tcp,http,S1,755,802,tcp http S1 755->802 attack,attack
186,flow-000185,tcp,ssh,RSTR,1024,593,tcp ssh RSTR 1024->593 normal,normal
187,flow-000186,tcp,ftp,S1,1736,438,tcp ftp S1 1736->438 normal,normal
188,flow-000187,tcp,ssh,REJ,183,1309,tcp ssh REJ 183->1309 attack,attack
189,flow-000188,icmp,other,RSTR,4,893,icmp other RSTR 4->893 normal,normal
190,flow-000189,udp,ftp,SF,835,226,udp ftp SF 835->226 normal,normal
191,flow-000190,tcp,dns,RSTR,876,134,tcp dns RSTR 876->134 attack,attack
192,flow-000191,tcp,http,SF,625,1121,tcp http SF 625->1121 attack,attack
193,flow-000192,icmp,ssl,REJ,79,889,icmp ssl REJ 79->889 normal,normal
194,flow-000193,udp,dns,SF,197,477,udp dns SF 197->477 normal,normal
195,flow-000194,tcp,ssl,RSTO,966,377,tcp ssl RSTO 966->377 normal,normal
196,flow-000195,tcp,smtp,RSTO,334,360,tcp smtp RSTO 334->360 attack,attack
197,flow-000196,udp,ssh,S1,1076,442,udp ssh S1 1076->442 attack,attack
198,flow-000197,icmp,ssh,RSTO,1361,1870,icmp ssh RSTO 1361->1870 normal,normal
199,flow-000198,icmp,http,SF,956,1389,icmp http SF 956->1389 attack,attack
200,flow-000199,icmp,ssl,S1,1145,425,icmp ssl S1 1145->425 normal,normal
201,flow-000200,icmp,other,RSTR,255,138,icmp other RSTR 255->138 normal,normal
202,flow-000201,tcp,smtp,S1,658,705,tcp smtp S1 658->705 normal,normal
