id,data_subject_id,host,event_id,text
1,user1712,PC-193,4698,Malware alert from Defender. Detection: PUA:Win32 on PC-193
2,user1493,PC-905,7045,A logon attempt was made using explicit credentials. User: user1493
3,user1767,PC-980,1116,Scheduled task created. Name: claim by user1767
4,user1873,PC-227,1116,A service was installed in the system. Service: daughter by user1873
5,user1902,PC-376,4698,Scheduled task created. Name: guy by user1902
6,user1942,PC-241,4624,A service was installed in the system. Service: ability by user1942
7,user1065,PC-467,4697,An account was successfully logged on. User: user1065 from PC-467
8,user1406,PC-661,4624,A service was installed in the system. Service: collection by user1406
9,user1405,PC-881,4625,Scheduled task created. Name: serve by user1405
10,user1624,PC-998,4697,An account was successfully logged on. User: user1624 from PC-998
11,user1056,PC-201,4624,A logon attempt was made using explicit credentials. User: user1056
12,user1222,PC-856,4625,A service was installed in the system. Service: break by user1222
13,user1146,PC-443,7045,Malware alert from Defender. Detection: Trojan:Win32 on PC-443
14,user1439,PC-716,1116,An account was locked out. User: user1439
15,user1761,PC-586,4698,An account was locked out. User: user1761
16,user1903,PC-475,7045,An account was successfully logged on. User: user1903 from PC-475
17,user1516,PC-451,4624,An account was successfully logged on. User: user1516 from PC-451
18,user1622,PC-684,7045,Scheduled task created. Name: discover by user1622
19,user1118,PC-133,4624,An account was successfully logged on. User: user1118 from PC-133
20,user1313,PC-332,4625,Scheduled task created. Name: local by user1313
21,user1256,PC-569,7045,A logon attempt was made using explicit credentials. User: user1256
22,user1068,PC-865,4697,An account was locked out. User: user1068
23,user1298,PC-155,4624,A logon attempt was made using explicit credentials. User: user1298
24,user1111,PC-102,1116,Malware alert from Defender. Detection: Worm:Win32 on PC-102
25,user1622,PC-194,1116,An account was locked out. User: user1622
26,user1427,PC-210,4697,Scheduled task created. Name: need by user1427
27,user1444,PC-443,7045,An account was successfully logged on. User: user1444 from PC-443
28,user1333,PC-380,7045,An account was locked out. User: user1333
29,user1672,PC-125,7045,An account was locked out. User: user1672
30,user1053,PC-657,1116,A logon attempt was made using explicit credentials. User: user1053
31,user1514,PC-210,4697,An account was successfully logged on. User: user1514 from PC-210
32,user1045,PC-146,4624,A service was installed in the system. Service: traditional by user1045
33,user1441,PC-446,7045,An account was successfully logged on. User: user1441 from PC-446
34,user1296,PC-774,4698,Scheduled task created. Name: good by user1296
35,user1946,PC-348,4624,Scheduled task created. Name: number by user1946
36,user1374,PC-350,4625,An account was successfully logged on. User: user1374 from PC-350
37,user1633,PC-622,4624,An account was successfully logged on. User: user1633 from PC-622
38,user1981,PC-721,4625,Malware alert from Defender. Detection: Trojan:Win32 on PC-721
39,user1342,PC-201,4697,Malware alert from Defender. Detection: Trojan:Win32 on PC-201
40,user1981,PC-601,4625,Malware alert from Defender. Detection: PUA:Win32 on PC-601
41,user1593,PC-145,7045,An account was successfully logged on. User: user1593 from PC-145
42,user1592,PC-205,7045,Malware alert from Defender. Detection: PUA:Win32 on PC-205
43,user1463,PC-467,7045,A service was installed in the system. Service: knowledge by user1463
44,user1134,PC-826,4698,An account was successfully logged on. User: user1134 from PC-826
45,user1012,PC-511,1116,A logon attempt was made using explicit credentials. User: user1012
46,user1020,PC-413,4698,An account was locked out. User: user1020
47,user1674,PC-969,7045,Scheduled task created. Name: debate by user1674
48,user1565,PC-920,4625,An account was successfully logged on. User: user1565 from PC-920
49,user1698,PC-596,4697,Scheduled task created. Name: know by user1698
50,user1295,PC-212,4625,A logon attempt was made using explicit credentials. User: user1295
51,user1598,PC-925,4625,Scheduled task created. Name: rather by user1598
52,user1008,PC-713,4624,A logon attempt was made using explicit credentials. User: user1008
54,user1222,PC-419,4625,An account was successfully logged on. User: user1222 from PC-419
55,user1751,PC-718,4698,An account was successfully logged on. User: user1751 from PC-718
56,user1905,PC-495,4698,An account was locked out. User: user1905
57,user1756,PC-475,1116,Scheduled task created. Name: project by user1756
58,user1859,PC-295,4698,An account was successfully logged on. User: user1859 from PC-295
59,user1129,PC-554,4698,A service was installed in the system. Service: make by user1129
60,user1576,PC-618,4697,A service was installed in the system. Service: want by user1576
61,user1489,PC-423,4697,A logon attempt was made using explicit credentials. User: user1489
62,user1590,PC-188,7045,An account was locked out. User: user1590
63,user1576,PC-164,4697,An account was successfully logged on. User: user1576 from PC-164
64,user1348,PC-388,4625,Malware alert from Defender. Detection: Trojan:Win32 on PC-388
65,user1889,PC-525,4624,Scheduled task created. Name: cut by user1889
66,user1105,PC-897,4624,An account was successfully logged on. User: user1105 from PC-897
67,user1027,PC-510,7045,An account was locked out. User: user1027
68,user1554,PC-223,4624,Malware alert from Defender. Detection: Worm:Win32 on PC-223
69,user1589,PC-793,4697,An account was locked out. User: user1589
70,user1795,PC-863,4697,Malware alert from Defender. Detection: Trojan:Win32 on PC-863
71,user1480,PC-960,4625,An account was successfully logged on. User: user1480 from PC-960
72,user1992,PC-910,4697,A logon attempt was made using explicit credentials. User: user1992
73,user1524,PC-169,4624,An account was successfully logged on. User: user1524 from PC-169
74,user1342,PC-599,1116,A logon attempt was made using explicit credentials. User: user1342
75,user1811,PC-509,4624,An account was locked out. User: user1811
76,user1671,PC-364,4697,An account was locked out. User: user1671
77,user1991,PC-665,4624,A logon attempt was made using explicit credentials. User: user1991
78,user1694,PC-317,4625,An account was locked out. User: user1694
79,user1366,PC-293,4625,An account was locked out. User: user1366
80,user1565,PC-757,4697,A logon attempt was made using explicit credentials. User: user1565
81,user1864,PC-108,7045,An account was locked out. User: user1864
82,user1971,PC-431,4698,An account was successfully logged on. User: user1971 from PC-431
83,user1256,PC-857,4697,Malware alert from Defender. Detection: Trojan:Win32 on PC-857
84,user1377,PC-740,4698,An account was successfully logged on. User: user1377 from PC-740
85,user1872,PC-347,7045,A service was installed in the system. Service: when by user1872
