id,data_subject_id,proto,service,flag,src_bytes,dst_bytes,text,label
1,flow-000000,udp,smtp,RSTR,227,512,udp smtp RSTR 227->512 normal,normal
2,flow-000001,tcp,ssh,REJ,232,478,tcp ssh REJ 232->478 attack,attack
3,flow-000002,icmp,ssh,RSTO,328,939,icmp ssh RSTO 328->939 attack,attack
4,flow-000003,icmp,http,REJ,555,410,icmp http REJ 555->410 normal,normal
5,flow-000004,udp,ssh,RSTO,668,1362,udp ssh RSTO 668->1362 normal,normal
6,flow-000005,udp,ssh,RSTO,1303,582,udp ssh RSTO 1303->582 normal,normal
7,flow-000006,udp,smtp,S1,1058,211,udp smtp S1 1058->211 normal,normal
8,flow-000007,tcp,dns,S1,1099,365,tcp dns S1 1099->365 normal,normal
9,flow-000008,tcp,other,REJ,1927,833,tcp other REJ 1927->833 normal,normal
10,flow-000009,tcp,ssl,RSTO,1339,272,tcp ssl RSTO 1339->272 normal,normal
11,flow-000010,tcp,other,RSTO,1204,896,tcp other RSTO 1204->896 normal,normal
12,flow-000011,tcp,dns,REJ,387,315,tcp dns REJ 387->315 normal,normal
13,flow-000012,icmp,dns,SF,417,760,icmp dns SF 417->760 normal,normal
14,flow-000013,udp,http,RSTO,98,855,udp http RSTO 98->855 normal,normal
15,flow-000014,tcp,ssh,RSTR,565,676,tcp ssh RSTR 565->676 normal,normal
16,flow-000015,icmp,ftp,RSTR,385,2319,icmp ftp RSTR 385->2319 normal,normal
17,flow-000016,tcp,smtp,S0,928,926,tcp smtp S0 928->926 attack,attack
18,flow-000017,icmp,ssh,SF,309,2287,icmp ssh SF 309->2287 normal,normal
19,flow-000018,tcp,other,S1,139,1431,tcp other S1 139->1431 normal,normal
20,flow-000019,tcp,ftp,S1,391,37,tcp ftp S1 391->37 normal,normal
21,flow-000020,tcp,ftp,S1,267,918,tcp ftp S1 267->918 normal,normal
22,flow-000021,icmp,ftp,S1,806,496,icmp ftp S1 806->496 normal,normal
23,flow-000022,udp,ssh,S1,667,967,udp ssh S1 667->967 attack,attack
24,flow-000023,udp,http,REJ,257,299,udp http REJ 257->299 normal,normal
25,flow-000024,icmp,dns,SF,188,600,icmp dns SF 188->600 attack,attack
26,flow-000025,udp,ftp,SF,525,604,udp ftp SF 525->604 attack,attack
27,flow-000026,tcp,ftp,S0,681,362,tcp ftp S0 681->362 normal,normal
28,flow-000027,tcp,http,RSTR,928,282,tcp http RSTR 928->282 normal,normal
29,flow-000028,udp,ssh,RSTR,350,1928,udp ssh RSTR 350->1928 normal,normal
30,flow-000029,tcp,ssl,RSTR,612,1093,tcp ssl RSTR 612->1093 normal,normal
31,flow-000030,tcp,other,REJ,42,219,tcp other REJ 42->219 normal,normal
32,flow-000031,udp,ftp,S1,31,714,udp ftp S1 31->714 normal,normal
33,flow-000032,udp,dns,S1,459,1244,udp dns S1 459->1244 attack,attack
