id,data_subject_id,host,event_id,text
1,user1330,PC-151,4698,Malware alert from Defender. Detection: Trojan:Win32 on PC-151
2,user1369,PC-290,4625,An account was locked out. User: user1369
3,user1273,PC-111,4697,A logon attempt was made using explicit credentials. User: user1273
4,user1276,PC-332,4698,A service was installed in the system. Service: bank by user1276
5,user1465,PC-625,4625,An account was successfully logged on. User: user1465 from PC-625
6,user1448,PC-129,4698,Malware alert from Defender. Detection: PUA:Win32 on PC-129
7,user1275,PC-413,7045,A service was installed in the system. Service: just by user1275
8,user1702,PC-861,7045,Scheduled task created. Name: whatever by user1702
9,user1980,PC-447,4624,Malware alert from Defender. Detection: Worm:Win32 on PC-447
10,user1550,PC-891,4625,A logon attempt was made using explicit credentials. User: user1550
11,user1761,PC-323,4698,A service was installed in the system. Service: than by user1761
12,user1899,PC-552,4625,An account was locked out. User: user1899
13,user1173,PC-140,7045,A logon attempt was made using explicit credentials. User: user1173
14,user1103,PC-933,4697,Scheduled task created. Name: still by user1103
15,user1856,PC-850,7045,An account was successfully logged on. User: user1856 from PC-850
16,user1921,PC-989,4697,A logon attempt was made using explicit credentials. User: user1921
17,user1575,PC-299,4624,A service was installed in the system. Service: writer by user1575
18,user1886,PC-117,4697,An account was locked out. User: user1886
19,user1802,PC-526,1116,An account was locked out. User: user1802
20,user1263,PC-197,4624,An account was locked out. User: user1263
21,user1656,PC-471,1116,Scheduled task created. Name: get by user1656
22,user1437,PC-606,7045,An account was locked out. User: user1437
23,user1902,PC-659,7045,An account was locked out. User: user1902
24,user1929,PC-526,4625,A logon attempt was made using explicit credentials. User: user1929
25,user1057,PC-360,4697,An account was successfully logged on. User: user1057 from PC-360
26,user1839,PC-740,4697,A service was installed in the system. Service: require by user1839
27,user1006,PC-852,4624,A logon attempt was made using explicit credentials. User: user1006
28,user1900,PC-890,4698,Malware alert from Defender. Detection: Trojan:Win32 on PC-890
29,user1907,PC-313,4698,An account was successfully logged on. User: user1907 from PC-313
30,user1494,PC-731,4698,An account was successfully logged on. User: user1494 from PC-731
31,user1601,PC-991,7045,An account was locked out. User: user1601
32,user1734,PC-869,4625,A service was installed in the system. Service: entire by user1734
33,user1922,PC-557,4625,Malware alert from Defender. Detection: PUA:Win32 on PC-557
34,user1890,PC-560,4624,A logon attempt was made using explicit credentials. User: user1890
35,user1636,PC-118,4697,An account was locked out. User: user1636
36,user1836,PC-483,4625,Scheduled task created. Name: computer by user1836
37,user1329,PC-376,4698,A logon attempt was made using explicit credentials. User: user1329
38,user1168,PC-737,7045,An account was successfully logged on. User: user1168 from PC-737
39,user1107,PC-787,4697,Scheduled task created. Name: particular by user1107
40,user1239,PC-701,1116,A logon attempt was made using explicit credentials. User: user1239
41,user1878,PC-823,4697,Scheduled task created. Name: that by user1878
42,user1537,PC-201,7045,Scheduled task created. Name: mother by user1537
43,user1703,PC-733,1116,Scheduled task created. Name: leave by user1703
44,user1444,PC-544,4697,Scheduled task created. Name: work by user1444
45,user1088,PC-361,7045,A logon attempt was made using explicit credentials. User: user1088
46,user1925,PC-441,4625,An account was locked out. User: user1925
47,user1579,PC-507,1116,An account was successfully logged on. User: user1579 from PC-507
48,user1606,PC-830,4698,Scheduled task created. Name: yes by user1606
49,user1183,PC-386,4698,Scheduled task created. Name: kind by user1183
50,user1294,PC-391,4697,A service was installed in the system. Service: staff by user1294
51,user1658,PC-494,7045,A logon attempt was made using explicit credentials. User: user1658
52,user1540,PC-340,4624,Scheduled task created. Name: culture by user1540
53,user1870,PC-345,1116,A service was installed in the system. Service: eye by user1870
54,user1854,PC-118,1116,An account was successfully logged on. User: user1854 from PC-118
55,user1874,PC-930,4698,Malware alert from Defender. Detection: Worm:Win32 on PC-930
56,user1410,PC-106,4624,Scheduled task created. Name: law by user1410
57,user1345,PC-456,4698,A logon attempt was made using explicit credentials. User: user1345
58,user1895,PC-984,4625,Malware alert from Defender. Detection: Worm:Win32 on PC-984
59,user1570,PC-578,4624,Scheduled task created. Name: reveal by user1570
60,user1923,PC-251,4697,An account was successfully logged on. User: user1923 from PC-251
61,user1528,PC-722,7045,An account was locked out. User: user1528
62,user1540,PC-156,1116,An account was locked out. User: user1540
63,user1265,PC-630,4625,A service was installed in the system. Service: management by user1265
64,user1063,PC-623,7045,A logon attempt was made using explicit credentials. User: user1063
65,user1322,PC-900,1116,Scheduled task created. Name: about by user1322
66,user1984,PC-178,4624,Malware alert from Defender. Detection: PUA:Win32 on PC-178
67,user1958,PC-733,4625,A logon attempt was made using explicit credentials. User: user1958
68,user1173,PC-701,4697,An account was successfully logged on. User: user1173 from PC-701
69,user1880,PC-636,4625,Scheduled task created. Name: then by user1880
70,user1406,PC-616,7045,Scheduled task created. Name: language by user1406
71,user1780,PC-316,4698,An account was locked out. User: user1780
72,user1747,PC-726,4625,An account was successfully logged on. User: user1747 from PC-726
74,user1955,PC-299,4625,Scheduled task created. Name: maybe by user1955
75,user1632,PC-545,4624,Malware alert from Defender. Detection: PUA:Win32 on PC-545
76,user1098,PC-364,4625,An account was successfully logged on. User: user1098 from PC-364
77,user1240,PC-194,4698,Malware alert from Defender. Detection: Worm:Win32 on PC-194
78,user1065,PC-740,1116,A logon attempt was made using explicit credentials. User: user1065
79,user1728,PC-683,7045,An account was successfully logged on. User: user1728 from PC-683
80,user1601,PC-565,4624,A logon attempt was made using explicit credentials. User: user1601
81,user1010,PC-605,7045,A service was installed in the system. Service: by by user1010
82,user1574,PC-443,4697,An account was successfully logged on. User: user1574 from PC-443
83,user1782,PC-749,4698,An account was successfully logged on. User: user1782 from PC-749
84,user1236,PC-502,4625,Malware alert from Defender. Detection: Trojan:Win32 on PC-502
85,user1452,PC-894,1116,Scheduled task created. Name: history by user1452
86,user1232,PC-831,4698,A service was installed in the system. Service: piece by user1232
87,user1805,PC-119,4624,Malware alert from Defender. Detection: Trojan:Win32 on PC-119
88,user1090,PC-277,4697,Scheduled task created. Name: somebody by user1090
89,user1967,PC-550,4698,Malware alert from Defender. Detection: Worm:Win32 on PC-550
90,user1564,PC-266,4625,An account was locked out. User: user1564
91,user1451,PC-856,1116,A service was installed in the system. Service: open by user1451
92,user1366,PC-512,4698,Malware alert from Defender. Detection: Trojan:Win32 on PC-512
