id,data_subject_id,host,event_id,text
1,user1902,PC-110,1116,An account was locked out. User: user1902
2,user1777,PC-670,4697,An account was locked out. User: user1777
3,user1612,PC-641,4625,An account was successfully logged on. User: user1612 from PC-641
4,user1862,PC-735,4698,Scheduled task created. Name: your by user1862
5,user1025,PC-181,4697,Malware alert from Defender. Detection: Worm:Win32 on PC-181
6,user1756,PC-652,1116,An account was locked out. User: user1756
7,user1193,PC-591,7045,Malware alert from Defender. Detection: Worm:Win32 on PC-591
8,user1882,PC-339,4625,Malware alert from Defender. Detection: PUA:Win32 on PC-339
9,user1188,PC-187,4625,A service was installed in the system. Service: deal by user1188
10,user1336,PC-405,4624,A logon attempt was made using explicit credentials. User: user1336
11,user1901,PC-812,4624,A service was installed in the system. Service: recognize by user1901
12,user1902,PC-138,4624,Malware alert from Defender. Detection: Trojan:Win32 on PC-138
13,user1526,PC-484,4625,A logon attempt was made using explicit credentials. User: user1526
14,user1868,PC-751,1116,Malware alert from Defender. Detection: Trojan:Win32 on PC-751
15,user1715,PC-284,4625,Malware alert from Defender. Detection: Worm:Win32 on PC-284
16,user1468,PC-780,7045,A service was installed in the system. Service: building by user1468
17,user1996,PC-195,1116,A service was installed in the system. Service: news by user1996
18,user1957,PC-466,4625,An account was successfully logged on. User: user1957 from PC-466
19,user1416,PC-719,4697,Scheduled task created. Name: above by user1416
20,user1288,PC-690,1116,Scheduled task created. Name: hundred by user1288
21,user1803,PC-936,7045,Malware alert from Defender. Detection: Trojan:Win32 on PC-936
22,user1133,PC-341,4697,Malware alert from Defender. Detection: Worm:Win32 on PC-341
23,user1306,PC-872,4625,A service was installed in the system. Service: research by user1306
24,user1112,PC-269,4625,Malware alert from Defender. Detection: Trojan:Win32 on PC-269
25,user1702,PC-827,4698,Scheduled task created. Name: design by user1702
26,user1824,PC-627,7045,A logon attempt was made using explicit credentials. User: user1824
27,user1007,PC-441,4625,An account was successfully logged on. User: user1007 from PC-441
28,user1326,PC-228,4697,Scheduled task created. Name: suggest by user1326
29,user1676,PC-280,1116,A service was installed in the system. Service: air by user1676
30,user1280,PC-392,4698,An account was locked out. User: user1280
31,user1168,PC-913,4624,A service was installed in the system. Service: use by user1168
32,user1530,PC-175,1116,Scheduled task created. Name: over by user1530
33,user1684,PC-974,4624,An account was locked out. User: user1684
34,user1788,PC-363,4697,A service was installed in the system. Service: specific by user1788
35,user1247,PC-386,7045,An account was locked out. User: user1247
36,user1430,PC-293,4625,An account was successfully logged on. User: user1430 from PC-293
37,user1190,PC-658,7045,A logon attempt was made using explicit credentials. User: user1190
38,user1776,PC-969,4625,An account was locked out. User: user1776
39,user1704,PC-926,4697,A logon attempt was made using explicit credentials. User: user1704
40,user1830,PC-470,4625,Malware alert from Defender. Detection: PUA:Win32 on PC-470
41,user1191,PC-511,7045,An account was successfully logged on. User: user1191 from PC-511
42,user1927,PC-970,7045,An account was successfully logged on. User: user1927 from PC-970
43,user1027,PC-501,4698,An account was successfully logged on. User: user1027 from PC-501
44,user1093,PC-445,4625,Scheduled task created. Name: garden by user1093
45,user1426,PC-287,4624,Scheduled task created. Name: fact by user1426
46,user1744,PC-796,4624,An account was successfully logged on. User: user1744 from PC-796
47,user1253,PC-494,4698,An account was locked out. User: user1253
48,user1281,PC-110,4698,A logon attempt was made using explicit credentials. User: user1281
49,user1771,PC-172,4624,An account was successfully logged on. User: user1771 from PC-172
50,user1569,PC-380,4624,An account was locked out. User: user1569
51,user1352,PC-376,4625,An account was successfully logged on. User: user1352 from PC-376
52,user1516,PC-407,7045,Scheduled task created. Name: decide by user1516
53,user1246,PC-731,1116,Malware alert from Defender. Detection: PUA:Win32 on PC-731
54,user1659,PC-366,4697,A logon attempt was made using explicit credentials. User: user1659
55,user1733,PC-323,4625,Scheduled task created. Name: weight by user1733
56,user1885,PC-804,4697,Scheduled task created. Name: respond by user1885
57,user1982,PC-183,4625,A logon attempt was made using explicit credentials. User: user1982
58,user1519,PC-778,4697,A service was installed in the system. Service: break by user1519
59,user1599,PC-341,1116,A logon attempt was made using explicit credentials. User: user1599
60,user1757,PC-528,4697,A logon attempt was made using explicit credentials. User: user1757
61,user1983,PC-709,4625,An account was locked out. User: user1983
62,user1030,PC-705,4698,An account was successfully logged on. User: user1030 from PC-705
63,user1749,PC-262,4624,An account was successfully logged on. User: user1749 from PC-262
64,user1443,PC-836,4625,An account was successfully logged on. User: user1443 from PC-836
65,user1116,PC-698,4697,A service was installed in the system. Service: particular by user1116
66,user1879,PC-643,4698,Malware alert from Defender. Detection: Trojan:Win32 on PC-643
67,user1386,PC-675,4698,An account was locked out. User: user1386
68,user1792,PC-696,1116,A logon attempt was made using explicit credentials. User: user1792
