id,data_subject_id,host,event_id,text
1,user1351,PC-319,4625,Scheduled task created. Name: themselves by user1351
2,user1925,PC-414,7045,Scheduled task created. Name: situation by user1925
3,user1296,PC-663,1116,Scheduled task created. Name: per by user1296
4,user1278,PC-783,4698,A service was installed in the system. Service: forget by user1278
5,user1272,PC-609,7045,An account was successfully logged on. User: user1272 from PC-609
6,user1475,PC-343,4697,An account was successfully logged on. User: user1475 from PC-343
7,user1542,PC-553,1116,An account was successfully logged on. User: user1542 from PC-553
8,user1494,PC-316,4624,A logon attempt was made using explicit credentials. User: user1494
9,user1301,PC-968,4698,Scheduled task created. Name: month by user1301
10,user1997,PC-588,1116,A service was installed in the system. Service: product by user1997
11,user1121,PC-411,1116,Scheduled task created. Name: two by user1121
12,user1288,PC-121,1116,A logon attempt was made using explicit credentials. User: user1288
13,user1545,PC-414,1116,A logon attempt was made using explicit credentials. User: user1545
14,user1984,PC-292,1116,Scheduled task created. Name: main by user1984
15,user1729,PC-254,4624,A service was installed in the system. Service: wonder by user1729
16,user1536,PC-754,4625,An account was locked out. User: user1536
17,user1989,PC-899,4697,A logon attempt was made using explicit credentials. User: user1989
18,user1122,PC-949,4698,An account was successfully logged on. User: user1122 from PC-949
19,user1635,PC-162,4697,An account was locked out. User: user1635
20,user1594,PC-545,7045,An account was successfully logged on. User: user1594 from PC-545
21,user1979,PC-930,1116,An account was successfully logged on. User: user1979 from PC-930
22,user1657,PC-132,4624,Scheduled task created. Name: respond by user1657
23,user1521,PC-566,4624,A logon attempt was made using explicit credentials. User: user1521
24,user1204,PC-195,1116,Scheduled task created. Name: try by user1204
25,user1332,PC-129,4624,Malware alert from Defender. Detection: PUA:Win32 on PC-129
26,user1949,PC-708,4697,A service was installed in the system. Service: threat by user1949
27,user1585,PC-471,1116,Scheduled task created. Name: majority by user1585
28,user1946,PC-981,7045,An account was locked out. User: user1946
29,user1855,PC-399,1116,A service was installed in the system. Service: force by user1855
30,user1690,PC-824,1116,Malware alert from Defender. Detection: PUA:Win32 on PC-824
31,user1068,PC-827,1116,A logon attempt was made using explicit credentials. User: user1068
32,user1165,PC-360,4625,An account was locked out. User: user1165
33,user1464,PC-483,4625,A logon attempt was made using explicit credentials. User: user1464
34,user1459,PC-450,7045,An account was locked out. User: user1459
35,user1472,PC-920,1116,An account was locked out. User: user1472
36,user1629,PC-230,1116,A logon attempt was made using explicit credentials. User: user1629
37,user1400,PC-864,4625,An account was successfully logged on. User: user1400 from PC-864
38,user1759,PC-801,4698,A logon attempt was made using explicit credentials. User: user1759
39,user1133,PC-722,4625,An account was successfully logged on. User: user1133 from PC-722
40,user1120,PC-468,4697,An account was locked out. User: user1120
41,user1388,PC-935,4624,A service was installed in the system. Service: structure by user1388
42,user1597,PC-785,4698,Scheduled task created. Name: all by user1597
43,user1036,PC-856,7045,An account was successfully logged on. User: user1036 from PC-856
44,user1812,PC-332,7045,Scheduled task created. Name: close by user1812
45,user1995,PC-311,1116,Scheduled task created. Name: management by user1995
46,user1665,PC-391,4624,A logon attempt was made using explicit credentials. User: user1665
47,user1588,PC-579,1116,An account was successfully logged on. User: user1588 from PC-579
48,user1161,PC-535,4624,An account was successfully logged on. User: user1161 from PC-535
49,user1372,PC-177,1116,An account was locked out. User: user1372
50,user1161,PC-520,4697,A service was installed in the system. Service: middle by user1161
51,user1904,PC-198,4624,A service was installed in the system. Service: commercial by user1904
52,user1616,PC-808,4625,A service was installed in the system. Service: east by user1616
53,user1900,PC-450,4624,Scheduled task created. Name: chair by user1900
54,user1551,PC-154,4625,A logon attempt was made using explicit credentials. User: user1551
55,user1292,PC-458,4698,Scheduled task created. Name: wind by user1292
56,user1195,PC-182,1116,Malware alert from Defender. Detection: Worm:Win32 on PC-182
57,user1861,PC-407,1116,Malware alert from Defender. Detection: Worm:Win32 on PC-407
58,user1146,PC-140,4697,Scheduled task created. Name: smile by user1146
59,user1620,PC-510,7045,An account was locked out. User: user1620
60,user1106,PC-767,4625,An account was successfully logged on. User: user1106 from PC-767
61,user1810,PC-670,4697,An account was successfully logged on. User: user1810 from PC-670
62,user1971,PC-668,1116,Malware alert from Defender. Detection: PUA:Win32 on PC-668
63,user1359,PC-825,4697,A service was installed in the system. Service: energy by user1359
64,user1998,PC-961,4697,Scheduled task created. Name: time by user1998
65,user1001,PC-177,1116,An account was locked out. User: user1001
66,user1638,PC-170,4697,An account was locked out. User: user1638
67,user1749,PC-920,4624,Scheduled task created. Name: structure by user1749
68,user1226,PC-119,4625,Malware alert from Defender. Detection: PUA:Win32 on PC-119
69,user1639,PC-789,7045,A logon attempt was made using explicit credentials. User: user1639
70,user1723,PC-952,4624,Malware alert from Defender. Detection: Worm:Win32 on PC-952
71,user1695,PC-858,4624,An account was locked out. User: user1695
72,user1803,PC-384,4624,A service was installed in the system. Service: south by user1803
73,user1573,PC-640,4625,A service was installed in the system. Service: maintain by user1573
74,user1274,PC-664,7045,A logon attempt was made using explicit credentials. User: user1274
75,user1354,PC-130,1116,An account was successfully logged on. User: user1354 from PC-130
76,user1973,PC-404,1116,A service was installed in the system. Service: cup by user1973
77,user1339,PC-334,4697,Scheduled task created. Name: down by user1339
78,user1102,PC-326,4624,A logon attempt was made using explicit credentials. User: user1102
79,user1539,PC-376,4625,A service was installed in the system. Service: director by user1539
80,user1716,PC-573,4625,An account was successfully logged on. User: user1716 from PC-573
81,user1751,PC-601,4625,Malware alert from Defender. Detection: PUA:Win32 on PC-601
82,user1272,PC-833,1116,Scheduled task created. Name: rule by user1272
83,user1140,PC-268,4624,Scheduled task created. Name: wrong by user1140
84,user1087,PC-469,4624,A service was installed in the system. Service: animal by user1087
85,user1609,PC-126,1116,A logon attempt was made using explicit credentials. User: user1609
86,user1688,PC-243,4698,Scheduled task created. Name: idea by user1688
87,user1844,PC-869,4624,An account was locked out. User: user1844
88,user1424,PC-588,4698,An account was locked out. User: user1424
89,user1854,PC-550,4624,Malware alert from Defender. Detection: PUA:Win32 on PC-550
90,user1669,PC-739,4698,Scheduled task created. Name: wife by user1669
91,user1990,PC-720,4625,An account was successfully logged on. User: user1990 from PC-720
