id,data_subject_id,host,event_id,text
1,user1686,PC-565,4624,Scheduled task created. Name: thus by user1686
2,user1373,PC-586,7045,Malware alert from Defender. Detection: PUA:Win32 on PC-586
3,user1277,PC-551,4625,An account was successfully logged on. User: user1277 from PC-551
4,user1080,PC-333,1116,A service was installed in the system. Service: summer by user1080
5,user1097,PC-945,7045,Scheduled task created. Name: policy by user1097
6,user1055,PC-668,4697,An account was successfully logged on. User: user1055 from PC-668
7,user1987,PC-278,1116,A service was installed in the system. Service: scene by user1987
8,user1837,PC-999,4698,A logon attempt was made using explicit credentials. User: user1837
9,user1983,PC-745,4697,A service was installed in the system. Service: risk by user1983
10,user1456,PC-805,4625,A service was installed in the system. Service: we by user1456
11,user1721,PC-316,4697,An account was successfully logged on. User: user1721 from PC-316
12,user1400,PC-535,4625,Scheduled task created. Name: guy by user1400
13,user1561,PC-714,1116,Scheduled task created. Name: represent by user1561
14,user1536,PC-686,4625,Malware alert from Defender. Detection: Worm:Win32 on PC-686
15,user1065,PC-671,4697,An account was locked out. User: user1065
16,user1023,PC-887,7045,An account was successfully logged on. User: user1023 from PC-887
17,user1540,PC-830,7045,Malware alert from Defender. Detection: Trojan:Win32 on PC-830
18,user1286,PC-906,4625,A service was installed in the system. Service: pass by user1286
19,user1873,PC-196,7045,A service was installed in the system. Service: door by user1873
20,user1331,PC-342,7045,Malware alert from Defender. Detection: PUA:Win32 on PC-342
21,user1705,PC-865,4624,Malware alert from Defender. Detection: Worm:Win32 on PC-865
22,user1839,PC-241,4625,Scheduled task created. Name: responsibility by user1839
23,user1170,PC-284,1116,An account was successfully logged on. User: user1170 from PC-284
24,user1043,PC-206,7045,An account was locked out. User: user1043
25,user1172,PC-381,4625,A logon attempt was made using explicit credentials. User: user1172
26,user1893,PC-993,4698,Scheduled task created. Name: pay by user1893
27,user1010,PC-509,4624,An account was successfully logged on. User: user1010 from PC-509
28,user1506,PC-488,4624,An account was locked out. User: user1506
29,user1565,PC-559,4625,A logon attempt was made using explicit credentials. User: user1565
30,user1964,PC-803,7045,Malware alert from Defender. Detection: Trojan:Win32 on PC-803
31,user1718,PC-480,4625,A service was installed in the system. Service: south by user1718
32,user1358,PC-874,1116,Malware alert from Defender. Detection: Trojan:Win32 on PC-874
33,user1270,PC-616,4625,A logon attempt was made using explicit credentials. User: user1270
34,user1085,PC-406,4624,Scheduled task created. Name: democratic by user1085
35,user1959,PC-398,4624,An account was locked out. User: user1959
36,user1066,PC-751,4698,Malware alert from Defender. Detection: PUA:Win32 on PC-751
37,user1449,PC-164,7045,A service was installed in the system. Service: despite by user1449
38,user1176,PC-313,7045,An account was locked out. User: user1176
39,user1154,PC-699,1116,Scheduled task created. Name: everybody by user1154
40,user1744,PC-427,7045,An account was locked out. User: user1744
41,user1216,PC-677,4698,A service was installed in the system. Service: cause by user1216
42,user1712,PC-173,4698,Scheduled task created. Name: either by user1712
43,user1733,PC-497,4697,Malware alert from Defender. Detection: PUA:Win32 on PC-497
44,user1648,PC-515,7045,A service was installed in the system. Service: have by user1648
45,user1458,PC-602,4697,A logon attempt was made using explicit credentials. User: user1458
46,user1389,PC-252,4624,A logon attempt was made using explicit credentials. User: user1389
47,user1870,PC-664,1116,Scheduled task created. Name: one by user1870
48,user1154,PC-361,4697,An account was successfully logged on. User: user1154 from PC-361
49,user1218,PC-937,1116,An account was locked out. User: user1218
50,user1731,PC-108,1116,Scheduled task created. Name: evening by user1731
51,user1083,PC-521,1116,A logon attempt was made using explicit credentials. User: user1083
52,user1909,PC-659,4625,An account was locked out. User: user1909
53,user1247,PC-842,4624,A logon attempt was made using explicit credentials. User: user1247
54,user1205,PC-948,4624,A service was installed in the system. Service: maintain by user1205
55,user1461,PC-827,1116,An account was successfully logged on. User: user1461 from PC-827
56,user1128,PC-201,4698,Malware alert from Defender. Detection: Trojan:Win32 on PC-201
57,user1427,PC-202,4697,A logon attempt was made using explicit credentials. User: user1427
58,user1110,PC-206,4625,An account was successfully logged on. User: user1110 from PC-206
59,user1103,PC-242,4697,A logon attempt was made using explicit credentials. User: user1103
60,user1372,PC-249,4698,A service was installed in the system. Service: school by user1372
61,user1422,PC-909,4697,Malware alert from Defender. Detection: PUA:Win32 on PC-909
62,user1509,PC-525,4698,Malware alert from Defender. Detection: Worm:Win32 on PC-525
63,user1993,PC-563,4697,Malware alert from Defender. Detection: Worm:Win32 on PC-563
64,user1739,PC-191,1116,A service was installed in the system. Service: character by user1739
65,user1010,PC-388,4697,An account was locked out. User: user1010
66,user1781,PC-942,7045,A logon attempt was made using explicit credentials. User: user1781
67,user1302,PC-650,4698,A logon attempt was made using explicit credentials. User: user1302
68,user1073,PC-283,7045,An account was locked out. User: user1073
69,user1665,PC-455,4625,Malware alert from Defender. Detection: Worm:Win32 on PC-455
70,user1326,PC-980,4698,An account was successfully logged on. User: user1326 from PC-980
71,user1875,PC-295,4625,An account was successfully logged on. User: user1875 from PC-295
72,user1056,PC-877,4698,A logon attempt was made using explicit credentials. User: user1056
73,user1257,PC-626,4698,Malware alert from Defender. Detection: PUA:Win32 on PC-626
74,user1773,PC-669,1116,A logon attempt was made using explicit credentials. User: user1773
75,user1140,PC-952,1116,A logon attempt was made using explicit credentials. User: user1140
76,user1963,PC-675,4624,An account was successfully logged on. User: user1963 from PC-675
77,user1651,PC-592,4625,A logon attempt was made using explicit credentials. User: user1651
78,user1109,PC-849,7045,An account was successfully logged on. User: user1109 from PC-849
79,user1096,PC-490,1116,An account was locked out. User: user1096
80,user1097,PC-429,4624,A logon attempt was made using explicit credentials. User: user1097
81,user1923,PC-850,4625,A service was installed in the system. Service: lay by user1923
82,user1695,PC-755,4624,A service was installed in the system. Service: if by user1695
83,user1867,PC-849,7045,Malware alert from Defender. Detection: Trojan:Win32 on PC-849
84,user1081,PC-764,4625,An account was successfully logged on. User: user1081 from PC-764
85,user1190,PC-938,7045,A logon attempt was made using explicit credentials. User: user1190
86,user1928,PC-400,4698,A logon attempt was made using explicit credentials. User: user1928
87,user1522,PC-562,4697,An account was locked out. User: user1522
88,user1850,PC-525,1116,Malware alert from Defender. Detection: PUA:Win32 on PC-525
89,user1128,PC-554,4625,A service was installed in the system. Service: your by user1128
90,user1435,PC-727,1116,A service was installed in the system. Service: price by user1435
91,user1340,PC-249,4697,A logon attempt was made using explicit credentials. User: user1340
92,user1417,PC-816,4698,Malware alert from Defender. Detection: Trojan:Win32 on PC-816
93,user1852,PC-907,4625,A logon attempt was made using explicit credentials. User: user1852
94,user1729,PC-669,4698,An account was successfully logged on. User: user1729 from PC-669
95,user1148,PC-264,1116,Malware alert from Defender. Detection: Trojan:Win32 on PC-264
96,user1331,PC-329,1116,A logon attempt was made using explicit credentials. User: user1331
97,user1968,PC-860,7045,A logon attempt was made using explicit credentials. User: user1968
98,user1765,PC-747,4697,Scheduled task created. Name: administration by user1765
99,user1349,PC-295,1116,An account was successfully logged on. User: user1349 from PC-295
100,user1994,PC-418,4698,Scheduled task created. Name: argue by user1994
101,user1909,PC-571,4625,A service was installed in the system. Service: reality by user1909
102,user1799,PC-897,4624,A service was installed in the system. Service: begin by user1799
103,user1071,PC-644,4624,A logon attempt was made using explicit credentials. User: user1071
105,user1738,PC-713,4698,Malware alert from Defender. Detection: PUA:Win32 on PC-713
106,user1922,PC-673,7045,Malware alert from Defender. Detection: Trojan:Win32 on PC-673
107,user1053,PC-931,4697,An account was locked out. User: user1053
108,user1539,PC-776,1116,Scheduled task created. Name: purpose by user1539
109,user1590,PC-515,7045,Malware alert from Defender. Detection: Trojan:Win32 on PC-515
110,user1484,PC-391,4625,Scheduled task created. Name: raise by user1484
111,user1427,PC-178,4698,An account was locked out. User: user1427
112,user1185,PC-504,4697,Scheduled task created. Name: role by user1185
113,user1723,PC-171,1116,Scheduled task created. Name: investment by user1723
114,user1516,PC-703,4698,An account was successfully logged on. User: user1516 from PC-703
115,user1240,PC-316,1116,An account was successfully logged on. User: user1240 from PC-316
116,user1977,PC-389,1116,An account was locked out. User: user1977
117,user1498,PC-704,4625,Scheduled task created. Name: control by user1498
118,user1760,PC-253,7045,Scheduled task created. Name: enough by user1760
119,user1598,PC-984,4697,A logon attempt was made using explicit credentials. User: user1598
120,user1527,PC-804,4698,An account was locked out. User: user1527
121,user1289,PC-953,4698,A logon attempt was made using explicit credentials. User: user1289
122,user1116,PC-264,7045,Scheduled task created. Name: movement by user1116
123,user1292,PC-429,4625,A service was installed in the system. Service: voice by user1292
124,user1038,PC-909,7045,An account was successfully logged on. User: user1038 from PC-909
125,user1601,PC-201,4625,An account was locked out. User: user1601
126,user1920,PC-115,4697,Scheduled task created. Name: entire by user1920
127,user1778,PC-802,7045,Scheduled task created. Name: article by user1778
129,user1569,PC-314,7045,An account was successfully logged on. User: user1569 from PC-314
130,user1346,PC-863,1116,Malware alert from Defender. Detection: PUA:Win32 on PC-863
131,user1029,PC-702,7045,A logon attempt was made using explicit credentials. User: user1029
132,user1428,PC-920,4624,Scheduled task created. Name: choose by user1428
133,user1656,PC-496,1116,Scheduled task created. Name: these by user1656
134,user1742,PC-985,4624,An account was locked out. User: user1742
135,user1867,PC-503,4697,A logon attempt was made using explicit credentials. User: user1867
136,user1186,PC-507,1116,A service was installed in the system. Service: suddenly by user1186
137,user1128,PC-310,4697,Scheduled task created. Name: little by user1128
138,user1869,PC-448,1116,Malware alert from Defender. Detection: Trojan:Win32 on PC-448
139,user1155,PC-641,4697,An account was successfully logged on. User: user1155 from PC-641
140,user1175,PC-525,4697,Malware alert from Defender. Detection: Trojan:Win32 on PC-525
141,user1147,PC-370,4698,A logon attempt was made using explicit credentials. User: user1147
142,user1591,PC-904,7045,An account was successfully logged on. User: user1591 from PC-904
143,user1628,PC-671,4624,An account was locked out. User: user1628
144,user1914,PC-421,4697,A logon attempt was made using explicit credentials. User: user1914
145,user1332,PC-454,4698,Malware alert from Defender. Detection: PUA:Win32 on PC-454
146,user1762,PC-399,1116,A logon attempt was made using explicit credentials. User: user1762
147,user1543,PC-408,7045,Scheduled task created. Name: present by user1543
148,user1177,PC-613,4625,A logon attempt was made using explicit credentials. User: user1177
149,user1004,PC-607,4698,An account was successfully logged on. User: user1004 from PC-607
150,user1590,PC-899,4624,A logon attempt was made using explicit credentials. User: user1590
151,user1152,PC-919,4697,An account was successfully logged on. User: user1152 from PC-919
152,user1683,PC-269,4698,A service was installed in the system. Service: miss by user1683
153,user1383,PC-132,4697,An account was locked out. User: user1383
154,user1070,PC-136,4624,An account was locked out. User: user1070
155,user1214,PC-751,4624,A logon attempt was made using explicit credentials. User: user1214
156,user1115,PC-103,4624,An account was successfully logged on. User: user1115 from PC-103
