id,data_subject_id,host,event_id,text,region,label
1,user1409,PC-549,4697,An account was locked out. User: user1409,South Australia,0
2,user1337,PC-825,4698,An account was locked out. User: user1337,Victoria,0
3,user1743,PC-674,1116,Scheduled task created. Name: tax by user1743,Queensland,0
4,user1010,PC-794,4624,Scheduled task created. Name: last by user1010,Northern Territory,0
5,user1191,PC-102,4697,An account was successfully logged on. User: user1191 from PC-102,Tasmania,0
6,user1882,PC-750,7045,An account was successfully logged on. User: user1882 from PC-750,Queensland,0
7,user1511,PC-880,4625,A logon attempt was made using explicit credentials. User: user1511,Victoria,0
8,user1303,PC-564,4697,Scheduled task created. Name: investment by user1303,Tasmania,0
9,user1074,PC-337,4624,An account was locked out. User: user1074,Western Australia,0
10,user1863,PC-609,1116,Malware alert from Defender. Detection: Worm:Win32 on PC-609,Northern Territory,0
11,user1609,PC-681,7045,A service was installed in the system. Service: could by user1609,Northern Territory,0
12,user1422,PC-431,4625,A service was installed in the system. Service: analysis by user1422,ACT,0
13,user1285,PC-410,1116,Malware alert from Defender. Detection: PUA:Win32 on PC-410,New South Wales,0
14,user1882,PC-724,4624,Malware alert from Defender. Detection: Worm:Win32 on PC-724,Queensland,0
15,user1909,PC-263,7045,A service was installed in the system. Service: spring by user1909,Northern Territory,0
16,user1941,PC-569,4624,Malware alert from Defender. Detection: Trojan:Win32 on PC-569,ACT,0
17,user1659,PC-275,7045,An account was successfully logged on. User: user1659 from PC-275,Queensland,0
18,user1189,PC-314,4697,An account was locked out. User: user1189,New South Wales,0
19,user1740,PC-871,4697,Malware alert from Defender. Detection: Worm:Win32 on PC-871,Victoria,0
20,user1558,PC-377,7045,A service was installed in the system. Service: name by user1558,ACT,0
21,user1069,PC-546,4698,An account was successfully logged on. User: user1069 from PC-546,Victoria,0
22,user1898,PC-379,4625,Scheduled task created. Name: every by user1898,Queensland,0
23,user1826,PC-718,4697,A service was installed in the system. Service: until by user1826,South Australia,0
24,user1698,PC-460,1116,A logon attempt was made using explicit credentials. User: user1698,South Australia,0
25,user1453,PC-983,4697,Scheduled task created. Name: study by user1453,Tasmania,0
26,user1225,PC-650,4698,A service was installed in the system. Service: challenge by user1225,Victoria,0
27,user1385,PC-494,4624,An account was locked out. User: user1385,South Australia,0
28,user1686,PC-659,4625,A service was installed in the system. Service: style by user1686,Tasmania,0
29,user1684,PC-408,7045,An account was locked out. User: user1684,Queensland,0
30,user1219,PC-761,4697,An account was locked out. User: user1219,Victoria,0
31,user1046,PC-470,4624,A logon attempt was made using explicit credentials. User: user1046,Victoria,0
32,user1581,PC-950,7045,An account was locked out. User: user1581,South Australia,0
33,user1012,PC-390,4625,A logon attempt was made using explicit credentials. User: user1012,Victoria,0
34,user1469,PC-348,4697,A service was installed in the system. Service: deal by user1469,ACT,0
35,user1755,PC-493,4698,An account was locked out. User: user1755,ACT,0
36,user1298,PC-364,4624,An account was successfully logged on. User: user1298 from PC-364,ACT,0
37,user1040,PC-779,4624,Scheduled task created. Name: effort by user1040,South Australia,0
38,user1301,PC-564,4697,A service was installed in the system. Service: enough by user1301,New South Wales,0
39,user1665,PC-355,4625,An account was locked out. User: user1665,Western Australia,0
40,user1264,PC-169,1116,Scheduled task created. Name: what by user1264,ACT,0
41,user1808,PC-783,1116,A service was installed in the system. Service: stay by user1808,Western Australia,0
42,user1697,PC-233,4698,A service was installed in the system. Service: education by user1697,New South Wales,0
43,user1666,PC-180,7045,Scheduled task created. Name: name by user1666,South Australia,0
44,user1571,PC-282,7045,An account was locked out. User: user1571,Victoria,0
45,user1948,PC-524,4698,An account was locked out. User: user1948,Queensland,0
46,user1664,PC-945,4624,Malware alert from Defender. Detection: Trojan:Win32 on PC-945,Western Australia,0
47,user1642,PC-325,1116,An account was locked out. User: user1642,ACT,0
48,user1606,PC-287,7045,An account was successfully logged on. User: user1606 from PC-287,ACT,0
49,user1857,PC-411,4625,An account was successfully logged on. User: user1857 from PC-411,Queensland,0
50,user1508,PC-900,4624,An account was successfully logged on. User: user1508 from PC-900,South Australia,0
51,user1896,PC-459,4698,An account was successfully logged on. User: user1896 from PC-459,Queensland,0
52,user1854,PC-761,1116,Scheduled task created. Name: range by user1854,New South Wales,0
53,user1417,PC-467,4697,A logon attempt was made using explicit credentials. User: user1417,Western Australia,0
54,user1448,PC-191,1116,An account was successfully logged on. User: user1448 from PC-191,Victoria,0
55,user1268,PC-574,1116,Malware alert from Defender. Detection: Trojan:Win32 on PC-574,Western Australia,0
56,user1227,PC-807,1116,A logon attempt was made using explicit credentials. User: user1227,Western Australia,0
57,user1387,PC-121,4697,An account was successfully logged on. User: user1387 from PC-121,New South Wales,0
58,user1367,PC-220,7045,A logon attempt was made using explicit credentials. User: user1367,New South Wales,0
59,user1148,PC-678,7045,Scheduled task created. Name: anything by user1148,Tasmania,0
60,user1061,PC-889,4625,Scheduled task created. Name: plant by user1061,Queensland,0
