id,data_subject_id,proto,service,flag,src_bytes,dst_bytes,text,label
1,flow-000000,udp,smtp,RSTR,1096,815,udp smtp RSTR 1096->815 normal,normal
2,flow-000001,icmp,dns,S0,878,1148,icmp dns S0 878->1148 normal,normal
3,flow-000002,udp,ssl,RSTR,569,54,udp ssl RSTR 569->54 normal,normal
4,flow-000003,icmp,dns,S0,219,1080,icmp dns S0 219->1080 normal,normal
5,flow-000004,icmp,ssh,SF,12,1446,icmp ssh SF 12->1446 normal,normal
6,flow-000005,tcp,ssl,RSTO,1108,737,tcp ssl RSTO 1108->737 normal,normal
7,flow-000006,tcp,smtp,S1,54,698,tcp smtp S1 54->698 attack,attack
8,flow-000007,icmp,ftp,SF,485,704,icmp ftp SF 485->704 normal,normal
9,flow-000008,icmp,ftp,RSTR,1277,336,icmp ftp RSTR 1277->336 normal,normal
10,flow-000009,tcp,smtp,S0,292,65,tcp smtp S0 292->65 attack,attack
11,flow-000010,tcp,ftp,RSTO,170,1962,tcp ftp RSTO 170->1962 normal,normal
12,flow-000011,tcp,other,RSTR,183,2142,tcp other RSTR 183->2142 normal,normal
13,flow-000012,udp,smtp,S0,972,684,udp smtp S0 972->684 normal,normal
14,flow-000013,icmp,smtp,SF,102,136,icmp smtp SF 102->136 normal,normal
15,flow-000014,icmp,http,S1,505,918,icmp http S1 505->918 normal,normal
16,flow-000015,tcp,dns,SF,559,2193,tcp dns SF 559->2193 normal,normal
17,flow-000016,udp,smtp,RSTO,58,866,udp smtp RSTO 58->866 normal,normal
18,flow-000017,tcp,ssh,S0,703,171,tcp ssh S0 703->171 normal,normal
19,flow-000018,icmp,ssh,S1,762,27,icmp ssh S1 762->27 attack,attack
20,flow-000019,icmp,dns,S0,855,1001,icmp dns S0 855->1001 attack,attack
21,flow-000020,icmp,http,SF,940,269,icmp http SF 940->269 normal,normal
22,flow-000021,icmp,ftp,REJ,1214,1001,icmp ftp REJ 1214->1001 normal,normal
23,flow-000022,icmp,ssl,SF,552,742,icmp ssl SF 552->742 normal,normal
24,flow-000023,icmp,ssh,RSTO,409,16,icmp ssh RSTO 409->16 normal,normal
25,flow-000024,icmp,smtp,SF,98,116,icmp smtp SF 98->116 normal,normal
26,flow-000025,udp,smtp,REJ,689,913,udp smtp REJ 689->913 normal,normal
27,flow-000026,icmp,ftp,RSTO,1144,542,icmp ftp RSTO 1144->542 attack,attack
28,flow-000027,tcp,ftp,RSTR,972,322,tcp ftp RSTR 972->322 normal,normal
29,flow-000028,tcp,ssh,S1,596,787,tcp ssh S1 596->787 normal,normal
30,flow-000029,udp,dns,SF,495,191,udp dns SF 495->191 normal,normal
31,flow-000030,tcp,ssl,REJ,1041,640,tcp ssl REJ 1041->640 normal,normal
32,flow-000031,udp,ftp,S1,51,1605,udp ftp S1 51->1605 normal,normal
33,flow-000032,tcp,dns,S1,332,1000,tcp dns S1 332->1000 attack,attack
34,flow-000033,udp,dns,RSTO,1270,56,udp dns RSTO 1270->56 normal,normal
35,flow-000034,tcp,other,S1,939,774,tcp other S1 939->774 normal,normal
36,flow-000035,tcp,ssl,REJ,9,188,tcp ssl REJ 9->188 normal,normal
37,flow-000036,udp,http,RSTO,604,1203,udp http RSTO 604->1203 attack,attack
38,flow-000037,tcp,smtp,SF,921,1024,tcp smtp SF 921->1024 normal,normal
39,flow-000038,tcp,http,REJ,634,251,tcp http REJ 634->251 attack,attack
40,flow-000039,udp,ssh,SF,856,222,udp ssh SF 856->222 attack,attack
41,flow-000040,icmp,dns,REJ,1023,588,icmp dns REJ 1023->588 attack,attack
42,flow-000041,icmp,http,SF,509,527,icmp http SF 509->527 normal,normal
43,flow-000042,udp,ssh,RSTR,271,993,udp ssh RSTR 271->993 attack,attack
44,flow-000043,udp,ssl,RSTO,326,641,udp ssl RSTO 326->641 normal,normal
45,flow-000044,icmp,smtp,RSTR,606,967,icmp smtp RSTR 606->967 attack,attack
46,flow-000045,udp,other,RSTR,600,1741,udp other RSTR 600->1741 normal,normal
47,flow-000046,icmp,dns,RSTR,482,1024,icmp dns RSTR 482->1024 normal,normal
48,flow-000047,icmp,dns,RSTR,270,781,icmp dns RSTR 270->781 normal,normal
49,flow-000048,udp,ftp,S0,1194,1262,udp ftp S0 1194->1262 attack,attack
50,flow-000049,udp,ftp,S0,658,810,udp ftp S0 658->810 normal,normal
51,flow-000050,tcp,other,RSTO,1728,1658,tcp other RSTO 1728->1658 normal,normal
52,flow-000051,tcp,smtp,S0,1343,20,tcp smtp S0 1343->20 normal,normal
53,flow-000052,tcp,ftp,RSTO,1639,1237,tcp ftp RSTO 1639->1237 normal,normal
54,flow-000053,icmp,ssl,REJ,1264,545,icmp ssl REJ 1264->545 normal,normal
55,flow-000054,udp,other,RSTO,358,519,udp other RSTO 358->519 attack,attack
56,flow-000055,udp,other,REJ,883,498,udp other REJ 883->498 normal,normal
57,flow-000056,icmp,ftp,S0,303,434,icmp ftp S0 303->434 attack,attack
58,flow-000057,udp,ftp,RSTO,47,448,udp ftp RSTO 47->448 attack,attack
59,flow-000058,icmp,ssh,SF,312,1157,icmp ssh SF 312->1157 normal,normal
60,flow-000059,icmp,other,SF,725,543,icmp other SF 725->543 normal,normal
61,flow-000060,icmp,ssl,SF,148,1492,icmp ssl SF 148->1492 attack,attack
62,flow-000061,tcp,smtp,REJ,100,1435,tcp smtp REJ 100->1435 normal,normal
63,flow-000062,tcp,http,S0,207,1211,tcp http S0 207->1211 normal,normal
64,flow-000063,udp,ssh,RSTR,1390,972,udp ssh RSTR 1390->972 normal,normal
65,flow-000064,udp,dns,REJ,448,555,udp dns REJ 448->555 normal,normal
66,flow-000065,icmp,smtp,S0,564,1747,icmp smtp S0 564->1747 normal,normal
67,flow-000066,udp,ssh,S0,1043,875,udp ssh S0 1043->875 normal,normal
68,flow-000067,udp,ssl,RSTR,1391,700,udp ssl RSTR 1391->700 attack,attack
69,flow-000068,tcp,dns,S0,1298,1305,tcp dns S0 1298->1305 normal,normal
70,flow-000069,udp,ssh,REJ,1166,1443,udp ssh REJ 1166->1443 normal,normal
71,flow-000070,icmp,smtp,SF,399,0,icmp smtp SF 399->0 normal,normal
72,flow-000071,tcp,ssh,SF,1049,1165,tcp ssh SF 1049->1165 normal,normal
73,flow-000072,udp,smtp,S0,1642,198,udp smtp S0 1642->198 normal,normal
74,flow-000073,tcp,ftp,S1,821,264,tcp ftp S1 821->264 normal,normal
75,flow-000074,icmp,ssh,SF,505,1998,icmp ssh SF 505->1998 attack,attack
76,flow-000075,udp,ssh,RSTO,899,505,udp ssh RSTO 899->505 normal,normal
77,flow-000076,udp,http,S1,373,1349,udp http S1 373->1349 normal,normal
78,flow-000077,udp,other,RSTR,645,597,udp other RSTR 645->597 attack,attack
79,flow-000078,icmp,ssh,RSTR,462,248,icmp ssh RSTR 462->248 normal,normal
80,flow-000079,icmp,ssh,RSTR,427,296,icmp ssh RSTR 427->296 attack,attack
81,flow-000080,tcp,ssl,RSTO,1216,1381,tcp ssl RSTO 1216->1381 normal,normal
82,flow-000081,udp,http,S0,606,1798,udp http S0 606->1798 normal,normal
83,flow-000082,udp,ftp,RSTO,548,948,udp ftp RSTO 548->948 normal,normal
84,flow-000083,icmp,ftp,S0,525,927,icmp ftp S0 525->927 attack,attack
85,flow-000084,udp,other,SF,600,874,udp other SF 600->874 normal,normal
86,flow-000085,tcp,ssl,S1,198,601,tcp ssl S1 198->601 normal,normal
87,flow-000086,udp,ssl,S0,53,584,udp ssl S0 53->584 attack,attack
