id,data_subject_id,proto,service,flag,src_bytes,dst_bytes,text,label,region
1,flow-000000,icmp,ssl,SF,436,910,icmp ssl SF 436->910 normal,normal,Tasmania
2,flow-000001,icmp,ssl,RSTR,694,140,icmp ssl RSTR 694->140 attack,attack,Northern Territory
3,flow-000002,tcp,ftp,RSTR,1036,749,tcp ftp RSTR 1036->749 normal,normal,Victoria
4,flow-000003,udp,smtp,SF,810,345,udp smtp SF 810->345 normal,normal,Western Australia
5,flow-000004,udp,other,SF,816,363,udp other SF 816->363 normal,normal,ACT
6,flow-000005,udp,smtp,SF,738,1051,udp smtp SF 738->1051 normal,normal,Tasmania
7,flow-000006,udp,smtp,SF,627,1436,udp smtp SF 627->1436 normal,normal,Tasmania
8,flow-000007,icmp,smtp,S1,72,1083,icmp smtp S1 72->1083 normal,normal,New South Wales
9,flow-000008,icmp,http,REJ,967,531,icmp http REJ 967->531 normal,normal,Northern Territory
10,flow-000009,tcp,other,S0,1064,1241,tcp other S0 1064->1241 normal,normal,Northern Territory
11,flow-000010,icmp,ssl,RSTO,421,108,icmp ssl RSTO 421->108 normal,normal,Tasmania
12,flow-000011,icmp,other,RSTO,1373,1151,icmp other RSTO 1373->1151 normal,normal,Western Australia
13,flow-000012,icmp,ssl,RSTO,833,819,icmp ssl RSTO 833->819 normal,normal,South Australia
14,flow-000013,tcp,dns,RSTO,701,616,tcp dns RSTO 701->616 normal,normal,Northern Territory
15,flow-000014,udp,other,RSTR,1811,481,udp other RSTR 1811->481 normal,normal,Western Australia
16,flow-000015,udp,ftp,REJ,356,1013,udp ftp REJ 356->1013 normal,normal,ACT
17,flow-000016,icmp,smtp,SF,608,227,icmp smtp SF 608->227 normal,normal,Queensland
18,flow-000017,udp,ftp,RSTR,191,2132,udp ftp RSTR 191->2132 normal,normal,South Australia
19,flow-000018,tcp,http,S0,337,495,tcp http S0 337->495 normal,normal,Queensland
20,flow-000019,tcp,other,S1,530,625,tcp other S1 530->625 normal,normal,Queensland
