id,data_subject_id,host,event_id,text
1,user1165,PC-616,4624,Malware alert from Defender. Detection: Trojan:Win32 on PC-616
2,user1172,PC-274,4624,Scheduled task created. Name: itself by user1172
3,user1725,PC-150,4698,Malware alert from Defender. Detection: Worm:Win32 on PC-150
4,user1655,PC-382,4625,An account was successfully logged on. User: user1655 from PC-382
5,user1033,PC-641,1116,A service was installed in the system. Service: usually by user1033
6,user1804,PC-290,4625,Scheduled task created. Name: make by user1804
7,user1417,PC-734,7045,An account was successfully logged on. User: user1417 from PC-734
8,user1112,PC-682,1116,Malware alert from Defender. Detection: Worm:Win32 on PC-682
9,user1708,PC-844,4625,A service was installed in the system. Service: Mrs by user1708
10,user1489,PC-960,4624,A service was installed in the system. Service: yard by user1489
11,user1030,PC-453,4697,Malware alert from Defender. Detection: PUA:Win32 on PC-453
12,user1230,PC-639,4698,Malware alert from Defender. Detection: PUA:Win32 on PC-639
13,user1659,PC-785,1116,An account was locked out. User: user1659
14,user1101,PC-560,4698,Scheduled task created. Name: hand by user1101
15,user1780,PC-993,4698,Scheduled task created. Name: each by user1780
16,user1921,PC-573,1116,A service was installed in the system. Service: beautiful by user1921
17,user1220,PC-329,4625,A logon attempt was made using explicit credentials. User: user1220
18,user1502,PC-255,1116,A service was installed in the system. Service: while by user1502
19,user1560,PC-716,7045,A logon attempt was made using explicit credentials. User: user1560
20,user1667,PC-172,4625,An account was locked out. User: user1667
21,user1228,PC-634,4624,A service was installed in the system. Service: fast by user1228
22,user1616,PC-571,4697,A service was installed in the system. Service: page by user1616
23,user1286,PC-424,4698,A service was installed in the system. Service: effect by user1286
24,user1191,PC-847,4625,Scheduled task created. Name: sit by user1191
25,user1153,PC-176,4697,An account was successfully logged on. User: user1153 from PC-176
26,user1887,PC-931,4624,Scheduled task created. Name: size by user1887
27,user1667,PC-152,4624,A service was installed in the system. Service: trip by user1667
28,user1522,PC-867,4697,An account was successfully logged on. User: user1522 from PC-867
29,user1991,PC-346,1116,Scheduled task created. Name: main by user1991
30,user1204,PC-365,1116,Scheduled task created. Name: process by user1204
31,user1967,PC-879,4625,A logon attempt was made using explicit credentials. User: user1967
32,user1734,PC-270,1116,A logon attempt was made using explicit credentials. User: user1734
33,user1831,PC-270,4697,An account was successfully logged on. User: user1831 from PC-270
34,user1268,PC-492,7045,An account was locked out. User: user1268
35,user1565,PC-661,4625,Scheduled task created. Name: information by user1565
36,user1539,PC-156,4697,Scheduled task created. Name: director by user1539
37,user1039,PC-132,4624,An account was successfully logged on. User: user1039 from PC-132
38,user1333,PC-419,4697,A logon attempt was made using explicit credentials. User: user1333
39,user1486,PC-141,4698,A logon attempt was made using explicit credentials. User: user1486
40,user1278,PC-409,4624,Scheduled task created. Name: could by user1278
41,user1344,PC-599,1116,Malware alert from Defender. Detection: Trojan:Win32 on PC-599
42,user1031,PC-728,4625,Scheduled task created. Name: certainly by user1031
43,user1731,PC-268,1116,A service was installed in the system. Service: place by user1731
44,user1167,PC-824,4625,A logon attempt was made using explicit credentials. User: user1167
45,user1351,PC-171,4697,Scheduled task created. Name: concern by user1351
46,user1937,PC-282,4698,Scheduled task created. Name: boy by user1937
47,user1551,PC-627,7045,Scheduled task created. Name: treat by user1551
48,user1078,PC-270,1116,A service was installed in the system. Service: your by user1078
49,user1131,PC-342,1116,Scheduled task created. Name: eat by user1131
50,user1668,PC-198,4697,Malware alert from Defender. Detection: PUA:Win32 on PC-198
51,user1963,PC-779,4625,An account was locked out. User: user1963
52,user1630,PC-784,4624,An account was successfully logged on. User: user1630 from PC-784
53,user1282,PC-224,4625,An account was locked out. User: user1282
54,user1305,PC-672,7045,An account was successfully logged on. User: user1305 from PC-672
55,user1823,PC-190,1116,A service was installed in the system. Service: attorney by user1823
56,user1567,PC-739,1116,A service was installed in the system. Service: time by user1567
57,user1584,PC-871,7045,Scheduled task created. Name: section by user1584
58,user1831,PC-718,1116,Malware alert from Defender. Detection: Trojan:Win32 on PC-718
59,user1905,PC-418,1116,A logon attempt was made using explicit credentials. User: user1905
60,user1385,PC-301,4698,Scheduled task created. Name: radio by user1385
61,user1343,PC-599,1116,An account was successfully logged on. User: user1343 from PC-599
62,user1354,PC-612,4624,Scheduled task created. Name: call by user1354
63,user1452,PC-135,7045,An account was successfully logged on. User: user1452 from PC-135
64,user1444,PC-798,4697,An account was locked out. User: user1444
